,CC,CD,DT,EX,IN,JJ,JJR,JJS,LS,MD,NN,NNP,NNPS,NNS,NONE,PDT,PRP,RB,RBR,RBS,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,score,sentenceNumber,wordNumber
51,7,1,24,0,15,11,0,0,0,5,25,15,0,14,0,0,10,12,0,0,0,12,14,11,1,3,2,1,2,0,0,5.468468468468468,0,10,2,19,111
52,2,0,21,0,23,6,0,0,0,5,26,12,0,15,0,0,3,10,0,0,1,5,8,8,5,3,1,7,2,0,1,6.428571428571429,1,5,3,14,91
53,1,0,28,0,22,12,0,0,0,1,36,4,0,15,0,0,2,11,0,0,0,15,10,9,6,2,0,0,2,1,2,6.3076923076923075,1,5,3,8,104
54,1,0,24,0,27,10,0,0,0,7,27,6,0,9,0,0,7,7,0,0,0,11,14,12,3,6,0,1,1,0,1,6.175,0,7,2,5,80
55,4,1,26,1,24,5,0,1,0,2,24,16,0,13,0,0,2,10,0,0,0,7,7,6,2,6,5,4,2,0,1,6.484210526315789,1,5,3,8,95
56,4,1,24,1,14,13,1,0,0,3,23,7,0,11,0,0,6,10,0,1,0,14,12,13,3,1,1,1,2,0,0,5.813186813186813,0,1,3,9,91
57,4,1,19,0,16,8,0,2,0,2,22,11,0,6,0,0,10,2,0,0,0,4,7,8,3,0,2,2,0,0,1,5.64,0,3,1,12,75
58,3,2,32,2,25,14,0,1,0,7,36,6,0,14,0,0,2,11,0,0,0,8,13,9,4,7,2,1,1,0,0,6.610169491525424,0,2,3,13,118
59,0,0,14,0,13,8,0,0,0,3,11,6,0,6,0,0,3,1,0,0,0,3,3,5,1,3,2,0,0,0,2,6.204081632653061,0,4,2,5,49
60,4,2,26,0,24,13,0,0,0,5,20,11,0,20,0,0,4,9,0,0,2,9,10,10,3,7,1,3,3,0,0,5.951456310679611,0,1,4,9,103
61,4,0,29,0,19,13,1,0,0,3,38,7,0,6,0,0,5,3,0,0,0,5,6,11,2,4,0,2,3,0,0,6.0813953488372094,0,9,2,9,86
62,3,1,41,0,38,23,0,1,0,4,34,27,1,15,0,0,7,10,0,0,0,15,12,9,7,8,0,0,2,0,2,6.549295774647887,0,2,4,8,142
63,2,1,22,1,27,8,0,0,0,1,22,20,0,17,0,0,2,6,0,0,0,9,10,12,5,4,0,4,3,0,1,6.663636363636364,2,4,3,10,110
64,0,1,27,1,30,11,1,1,0,5,23,10,0,19,0,0,4,9,0,0,1,6,11,11,4,5,4,3,1,0,3,6.03030303030303,4,6,4,9,99
65,2,0,13,2,10,8,1,0,0,0,22,3,0,7,0,0,2,6,0,0,0,8,6,4,1,0,4,2,1,0,2,5.475409836065574,1,0,1,6,61
66,1,1,20,1,20,10,0,2,0,1,19,14,0,9,0,0,3,7,0,0,1,3,2,9,4,5,1,1,1,0,1,6.2682926829268295,1,5,3,11,82
67,1,0,5,1,1,4,0,1,0,0,8,0,0,1,0,0,2,1,0,0,0,2,1,3,1,0,0,0,0,0,0,6.2272727272727275,0,1,1,4,22
68,3,2,35,2,23,17,0,0,0,7,28,4,1,18,0,0,4,12,0,0,1,8,14,9,4,5,5,6,4,0,0,6.128440366972477,3,1,4,12,109
69,2,0,21,0,19,10,0,0,0,1,26,15,0,15,0,0,1,11,1,1,1,7,8,11,5,5,2,1,0,0,0,6.59433962264151,0,4,3,18,106
70,2,1,23,0,24,18,0,1,0,8,32,25,1,12,0,0,1,8,0,0,2,6,13,7,1,6,3,1,1,1,0,6.311475409836065,1,9,3,15,122
71,1,0,10,0,8,3,0,0,0,2,15,2,0,4,0,0,1,3,0,0,0,5,6,6,1,7,0,0,0,0,0,5.948717948717949,0,0,1,5,39
72,1,0,13,0,14,13,1,0,0,4,9,10,1,9,0,0,4,7,0,0,0,6,7,5,2,2,1,3,0,0,0,6.421052631578948,0,8,3,7,57
73,2,1,12,0,13,10,0,1,0,3,19,12,0,6,0,0,2,7,0,0,1,5,7,5,2,4,1,1,1,0,1,6.373134328358209,1,1,3,9,67
74,0,0,21,0,14,12,0,1,0,4,30,12,0,11,0,0,3,4,0,0,0,7,8,7,2,4,1,5,0,0,0,6.351063829787234,0,4,2,18,94
75,4,0,25,0,19,10,0,1,0,4,27,3,1,10,0,0,3,4,1,0,0,3,5,11,3,5,1,1,1,0,0,6.1,1,1,3,7,80
76,1,0,12,0,6,9,0,0,0,2,15,3,0,8,0,0,1,9,0,0,0,3,3,6,2,5,0,1,0,0,0,6.588235294117647,0,0,3,8,51
77,2,1,10,0,11,2,0,0,0,1,10,4,0,7,0,0,2,3,0,0,0,1,2,0,3,0,1,4,1,0,0,6.405405405405405,0,3,1,7,37
78,0,1,8,1,16,7,0,0,0,1,13,5,0,13,0,0,5,7,0,0,0,3,2,9,2,3,1,4,2,0,1,6.228070175438597,1,3,3,5,57
79,4,0,20,0,18,12,0,1,0,1,17,14,0,21,0,0,4,5,0,0,0,8,5,6,5,5,3,1,2,0,0,6.43956043956044,0,5,3,9,91
80,4,0,24,0,15,17,0,0,0,3,31,19,0,8,0,0,5,7,0,0,0,11,6,11,3,8,0,3,1,0,1,6.212962962962963,1,10,3,11,108
81,1,2,13,0,13,8,0,1,0,2,13,7,0,10,0,0,3,5,0,0,1,6,7,6,6,5,0,0,2,0,0,5.835820895522388,1,0,3,11,67
82,4,0,18,1,21,18,0,2,0,5,13,15,0,12,0,0,6,11,0,0,0,8,9,8,4,3,0,1,0,0,3,6.569767441860465,0,0,3,7,86
83,6,0,28,0,21,14,0,0,0,6,23,7,0,11,0,0,2,5,0,0,1,8,13,11,4,4,0,0,0,0,0,6.469879518072289,0,4,3,6,83
84,2,2,25,1,20,7,0,2,0,7,27,3,0,15,0,0,1,10,0,0,0,10,11,8,3,9,0,1,2,1,1,6.247191011235955,3,3,3,12,89
85,4,2,15,0,12,6,0,0,0,7,25,2,0,7,0,0,1,14,0,0,1,3,10,5,1,4,0,0,0,0,1,6.164179104477612,0,1,2,7,67
86,4,0,24,0,21,13,0,0,0,3,35,6,1,16,0,0,1,7,0,0,0,13,14,7,6,3,0,0,2,0,1,6.669811320754717,1,2,3,9,106
87,3,1,26,1,19,13,0,0,0,6,21,23,0,15,0,0,1,11,0,0,0,8,11,9,3,4,0,2,0,0,0,5.918918918918919,0,4,3,16,111
88,6,0,30,1,28,14,0,0,0,6,32,13,0,14,0,0,2,6,0,0,1,7,13,9,6,8,0,0,1,0,1,6.533898305084746,2,1,3,19,118
89,5,0,27,0,15,11,1,0,0,5,26,7,0,13,0,0,2,7,0,0,0,12,14,10,1,7,0,2,2,0,1,6.111111111111111,0,0,3,13,99
90,2,0,23,2,21,10,1,0,0,4,25,12,0,9,0,0,4,4,0,0,0,7,9,11,1,8,0,1,2,0,0,6.886363636363637,1,0,3,24,88
91,4,2,17,1,18,10,0,1,0,1,25,13,1,12,0,0,3,6,0,0,1,5,5,7,5,1,2,1,0,0,3,6.055555555555555,1,12,3,10,90
92,1,0,40,0,36,11,1,1,0,6,32,34,0,16,0,0,4,4,0,0,0,9,14,15,3,8,2,3,2,0,4,6.402777777777778,1,6,3,16,144
93,3,0,13,0,8,10,0,1,0,3,14,2,1,8,0,0,1,4,0,0,0,1,4,1,2,0,1,2,0,0,1,6.479166666666667,0,3,2,5,48
94,1,1,32,1,18,6,0,0,0,4,16,39,0,8,0,0,5,7,0,0,1,7,9,13,2,4,2,3,0,1,2,5.611650485436893,2,9,2,12,103
95,3,0,20,0,9,8,0,1,0,5,15,17,0,3,0,0,3,3,0,0,0,3,5,4,0,1,0,2,0,0,0,5.660714285714286,0,6,2,7,56
96,2,0,19,2,18,11,0,0,0,4,18,11,1,16,0,0,2,9,0,0,1,9,10,9,4,6,0,2,0,0,0,6.0989010989010985,0,1,4,10,91
97,1,3,12,0,13,2,0,0,0,1,12,7,0,4,0,0,3,4,0,0,1,4,4,6,3,3,0,1,1,0,0,6.148936170212766,0,4,2,7,47
98,0,3,24,0,21,9,0,0,0,6,30,12,1,14,0,0,4,10,1,0,0,8,12,11,2,6,0,0,3,0,0,6.32,2,0,3,12,100
99,2,2,21,3,18,18,0,0,0,6,12,2,0,15,0,0,4,12,0,1,2,12,16,11,3,4,0,4,1,0,1,6.2023809523809526,0,2,4,13,84
100,0,1,33,0,17,13,0,2,0,3,30,18,1,19,0,0,6,7,0,0,0,15,16,18,2,5,2,4,0,0,3,6.231884057971015,0,5,4,15,138
101,1,0,12,1,14,10,0,0,0,3,18,4,0,8,0,0,7,4,1,0,0,5,5,7,6,0,0,1,1,0,1,6.17741935483871,1,0,3,7,62
102,1,0,19,0,14,7,0,1,0,1,17,10,0,11,0,0,5,3,0,0,1,5,5,7,6,2,1,0,0,0,1,6.287671232876712,0,1,3,9,73
103,3,1,19,0,15,10,0,1,0,1,21,13,0,8,0,0,5,7,0,0,2,6,6,6,6,0,5,4,0,0,1,6.172839506172839,0,4,1,10,81
104,3,1,33,1,20,7,0,0,0,6,28,12,0,9,0,0,7,6,0,0,1,7,10,11,2,8,0,3,1,1,0,6.279569892473118,1,5,3,13,93
105,1,1,5,0,8,2,0,1,0,1,11,7,0,0,0,0,5,1,0,0,1,2,3,3,1,0,1,1,0,0,0,5.655172413793103,0,6,0,2,29
106,2,3,35,0,20,16,0,0,0,2,31,13,0,8,0,0,2,11,1,0,2,8,5,12,7,4,0,0,2,0,3,5.822429906542056,1,2,3,10,107
107,3,2,40,4,32,11,0,0,0,4,36,22,0,20,0,0,8,11,0,0,0,8,13,14,3,2,3,2,3,1,1,5.866141732283465,2,6,3,13,127
108,4,4,33,0,26,18,0,0,0,2,27,14,0,17,0,0,5,13,0,0,1,6,6,16,5,8,0,1,0,1,1,6.32520325203252,0,7,3,11,123
109,2,1,27,2,29,12,0,1,0,5,24,15,0,20,0,0,3,12,0,0,1,9,11,11,9,6,1,1,1,1,0,6.336206896551724,1,3,3,16,116
110,2,1,28,2,22,13,0,2,0,3,30,16,0,14,0,0,4,12,0,0,2,14,15,12,4,8,0,0,0,0,0,5.96,0,7,4,13,125
111,1,0,12,0,11,3,0,0,0,4,11,7,0,7,0,0,1,4,0,0,0,1,4,6,2,1,0,0,0,0,0,6.238095238095238,0,1,2,5,42
112,6,0,21,0,21,10,1,0,0,3,22,3,0,11,0,0,5,6,0,0,0,7,9,7,5,4,0,1,2,0,0,6.3625,2,5,3,8,80
113,3,2,32,0,30,13,0,0,0,5,37,14,0,17,0,0,5,11,0,0,2,6,9,9,6,6,4,3,0,0,1,6.052238805970149,1,6,3,20,134
114,1,1,21,0,19,11,1,0,0,3,22,5,0,11,0,0,3,5,0,0,1,6,9,6,6,4,0,1,0,0,1,6.0875,0,1,2,11,80
115,3,1,15,0,4,1,0,0,0,0,7,5,0,5,0,0,6,2,0,0,0,0,1,6,0,1,3,1,2,0,0,6.366666666666666,0,8,1,4,30
116,0,0,33,2,28,15,0,0,0,4,25,17,0,11,0,1,9,13,1,0,0,7,9,13,0,4,2,5,0,0,1,5.654867256637168,0,1,3,11,113
117,5,0,14,0,18,9,1,0,0,1,26,9,0,10,0,0,5,3,0,0,0,5,4,10,2,7,1,0,3,0,1,5.925925925925926,2,2,0,8,81
118,1,0,9,0,7,3,0,0,0,1,8,5,0,4,0,0,4,2,0,0,0,7,7,4,0,1,2,1,0,0,1,6.382352941176471,0,2,2,3,34
119,4,0,25,0,33,14,0,1,0,2,26,13,0,18,0,0,5,9,0,1,0,8,8,12,2,5,0,0,0,0,0,6.237623762376238,0,5,3,8,101
120,4,3,19,0,12,6,0,0,0,3,17,3,0,14,0,0,2,6,0,0,1,5,7,6,3,5,0,0,0,0,0,6.472972972972973,0,4,2,9,74
121,3,1,20,0,19,6,0,1,0,1,19,9,0,10,0,0,3,5,0,0,0,2,3,8,1,2,2,2,0,0,1,2.1215469613259668,0,4,3,6,181
122,3,1,48,0,35,22,0,1,0,6,40,37,0,29,0,0,4,13,0,0,0,14,16,16,9,12,3,1,1,0,3,6.76,2,8,4,22,200
123,4,0,7,1,4,3,1,0,0,1,3,4,0,1,0,0,0,0,1,0,0,3,4,0,0,1,0,0,0,0,0,5.666666666666667,0,0,0,2,15
124,1,0,9,0,8,4,0,1,0,1,9,6,0,7,0,0,1,5,0,0,0,3,3,4,1,1,0,1,0,0,0,6.487179487179487,0,0,2,5,39
125,1,0,21,1,17,11,0,1,0,0,18,17,0,16,0,0,7,6,1,0,0,6,5,5,4,4,3,7,1,1,4,6.336842105263158,1,11,3,15,95
126,3,3,21,2,18,9,1,0,0,4,22,22,0,7,0,0,7,6,0,0,2,8,10,16,2,2,0,4,1,0,0,5.702970297029703,0,8,3,18,101
127,1,0,20,0,17,8,1,0,0,2,14,17,0,10,0,0,4,2,0,0,0,12,12,10,2,2,3,2,1,0,1,6.223684210526316,0,9,3,8,76
128,3,2,24,2,18,8,0,0,0,4,28,15,0,15,0,0,3,9,1,0,0,10,11,5,0,4,4,4,1,0,1,6.153061224489796,1,4,2,11,98
129,2,1,23,2,24,12,0,0,0,5,19,11,0,18,0,0,6,11,0,0,1,6,8,17,4,3,1,1,1,0,1,6.267326732673268,0,2,4,10,101
130,2,1,14,2,17,8,0,0,0,2,18,7,0,9,0,0,6,8,1,1,0,5,7,8,5,4,3,0,1,0,3,6.382352941176471,1,7,2,8,68
131,1,1,14,0,12,6,0,0,0,3,18,5,0,6,0,0,2,2,0,0,0,4,6,8,2,1,0,0,0,0,0,6.203703703703703,0,0,2,6,54
132,2,1,23,0,21,10,0,1,0,3,22,13,0,8,0,0,4,10,0,0,1,6,7,10,2,5,0,5,1,0,0,5.821052631578947,0,8,3,9,95
133,7,2,26,0,31,18,0,1,0,6,28,12,1,13,0,0,5,12,0,0,4,9,15,13,6,7,0,3,2,0,1,6.128,0,1,4,13,125
134,4,1,26,0,21,13,0,1,0,2,19,16,0,18,0,0,2,9,0,0,0,6,6,9,3,4,2,2,3,1,0,6.129032258064516,2,3,3,6,93
135,2,0,10,0,12,6,0,1,0,3,10,1,0,9,0,0,3,2,0,0,0,6,8,5,3,2,0,2,0,0,0,6.282608695652174,0,1,2,7,46
136,1,1,14,0,17,11,1,0,0,4,14,25,0,12,0,0,8,7,0,0,0,4,7,10,5,6,2,4,0,0,2,6.15625,0,3,3,12,96
137,4,0,22,1,24,11,1,0,0,5,33,13,1,11,0,0,3,9,0,0,3,5,8,6,3,8,1,2,2,0,1,5.9326923076923075,1,0,3,22,104
138,4,1,26,0,28,18,0,0,0,6,33,13,1,9,0,0,6,10,0,0,1,9,12,10,3,6,1,2,0,0,2,5.8,0,3,4,8,120
139,1,0,14,0,9,7,2,1,0,0,9,6,0,11,0,0,7,5,2,0,1,7,5,8,6,3,1,1,0,0,0,6.295081967213115,0,2,1,13,61
140,2,0,22,1,12,5,0,1,0,3,17,10,1,6,0,0,3,6,0,0,0,4,7,4,5,3,1,1,0,0,1,6.373134328358209,0,1,3,9,67
141,2,1,18,1,15,5,1,0,0,4,21,15,0,11,0,0,3,2,0,0,0,6,8,9,4,3,0,0,0,0,1,6.518518518518518,0,15,3,7,81
142,1,0,17,0,17,14,0,0,0,2,19,10,0,14,0,0,6,9,0,0,1,8,9,13,7,3,0,0,2,0,1,6.22093023255814,1,4,3,13,86
143,2,0,22,0,17,10,0,1,0,3,26,15,0,10,0,0,3,4,0,0,2,7,9,8,3,3,0,2,1,0,1,6.252747252747253,1,2,3,10,91
144,3,1,25,1,26,15,0,0,0,3,32,29,0,20,2,0,6,12,0,0,2,10,10,18,8,5,2,0,0,0,1,5.918367346938775,0,7,4,17,147
145,1,0,11,0,6,3,0,0,0,1,9,5,0,4,0,0,3,1,0,0,0,4,3,2,2,0,0,0,1,0,1,6.448275862068965,1,7,1,5,29
146,2,1,20,1,18,6,0,0,0,3,18,12,0,13,0,0,2,4,0,0,0,5,5,9,2,4,1,3,1,0,1,6.014084507042254,1,6,3,12,71
147,2,0,27,0,16,11,0,2,0,5,25,11,1,8,0,0,3,5,0,0,0,5,7,5,2,4,1,3,1,0,0,5.6117647058823525,1,3,3,9,85
148,2,2,17,0,26,11,1,0,0,1,21,21,0,17,0,0,1,6,0,0,0,3,2,7,2,8,1,0,0,0,1,6.617021276595745,0,6,4,11,94
149,1,1,11,2,10,9,0,0,0,2,11,1,0,7,0,0,3,8,0,0,0,2,4,5,4,4,1,1,0,0,0,6.2,0,2,2,5,55
150,1,2,19,0,14,12,0,1,0,2,16,3,0,14,0,0,5,4,0,0,0,4,4,6,5,0,4,4,1,0,0,6.1571428571428575,0,5,3,10,70
151,1,0,24,1,21,12,1,0,0,6,27,7,0,11,0,0,8,11,0,0,0,11,12,8,1,4,6,1,2,1,0,5.927083333333333,1,5,0,9,96
152,0,0,20,1,16,14,0,1,0,4,21,4,0,12,0,0,5,5,0,0,0,10,10,13,2,1,0,0,1,0,1,6.4875,1,0,3,8,80
153,3,1,36,0,27,11,0,0,0,2,33,19,0,16,0,0,1,6,1,0,0,11,9,11,7,3,1,0,1,0,0,6.539823008849558,0,1,4,11,113
154,1,2,32,1,28,13,1,2,0,2,28,14,0,14,0,0,5,8,0,0,0,12,8,9,5,3,3,5,1,0,2,6.108108108108108,1,6,3,13,111
155,2,0,18,0,12,8,0,1,0,3,15,10,0,11,0,0,5,9,0,0,1,8,10,7,3,3,1,1,1,0,0,5.9605263157894735,1,1,3,11,76
156,3,0,26,0,17,11,1,0,0,6,28,23,1,13,0,0,4,10,0,0,0,11,14,12,2,9,1,4,0,0,2,6.601769911504425,1,7,4,15,113
157,5,0,29,1,16,10,1,0,0,3,25,6,0,11,0,0,5,14,0,0,0,11,11,14,3,8,1,0,1,0,2,5.851063829787234,1,2,3,9,94
158,0,1,17,0,9,5,0,0,0,5,16,1,0,12,0,0,1,8,0,0,0,4,8,3,2,3,0,0,0,0,0,6.1923076923076925,0,1,3,6,52
159,1,0,19,0,10,3,0,1,0,2,17,11,0,11,0,0,1,3,0,0,0,10,8,6,1,2,0,0,1,0,0,6.559322033898305,0,1,2,3,59
160,7,0,44,0,29,12,1,2,0,4,52,19,0,20,0,0,9,18,0,0,0,5,7,19,5,9,1,2,2,0,0,6.487341772151899,1,1,3,18,158
161,4,1,39,0,29,15,0,1,0,4,34,24,0,15,0,0,5,13,0,0,1,13,16,15,8,9,2,0,2,1,2,5.964539007092198,2,3,4,12,141
162,2,1,13,0,11,6,0,0,0,3,19,7,0,7,0,0,8,6,0,0,0,9,11,11,4,2,1,0,2,0,0,6.126760563380282,2,1,2,13,71
163,3,1,8,2,7,5,0,0,0,1,6,4,0,6,0,0,4,3,0,0,2,6,5,7,3,3,0,0,0,0,1,5.05,0,4,1,4,40
164,1,0,27,1,18,8,0,0,0,4,28,10,1,14,0,0,0,9,0,1,0,10,10,8,3,8,1,1,1,0,0,6.969387755102041,1,3,3,14,98
165,3,1,29,1,24,16,0,1,0,3,25,17,0,18,0,0,2,7,0,0,0,8,7,12,3,4,1,0,2,0,0,6.663551401869159,0,1,4,10,107
166,3,0,41,1,39,19,0,1,0,5,38,24,1,18,0,0,5,11,0,0,1,9,10,13,9,10,2,2,0,0,2,6.371794871794871,0,3,4,12,156
