,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,PRP,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,score,sentenceNumber,wordNumber
72,28,1,33,0,37,22,1,1,12,32,17,3,20,1,32,12,0,0,3,9,0,25,1,5,5,11,6,1,2,3,5.725714285714286,2,30,2,27,175
73,10,3,47,4,43,27,2,1,9,64,2,0,36,0,28,17,1,0,1,24,0,34,1,1,8,19,22,7,5,3,5.646586345381526,9,3,4,22,249
74,9,1,34,4,55,23,1,0,7,48,4,0,27,0,55,25,2,0,3,11,0,18,24,7,9,13,7,4,2,0,5.152380952380953,3,6,4,21,210
75,9,2,32,2,45,24,1,0,12,46,9,0,19,0,43,33,0,0,6,14,0,27,3,5,2,17,7,3,4,2,4.553097345132743,4,9,3,17,226
76,14,1,44,0,39,30,1,1,8,52,23,0,40,0,34,22,0,0,0,13,0,30,1,3,8,38,12,1,7,1,5.6204081632653065,6,23,3,16,245
77,20,1,24,1,40,17,1,2,5,41,10,1,33,0,22,10,1,0,2,8,0,15,6,7,9,18,8,3,1,3,4.855614973262032,1,14,3,15,187
78,16,2,35,0,40,34,0,0,20,49,2,0,26,0,14,16,0,0,3,6,0,26,3,2,14,4,5,1,0,3,5.678571428571429,2,26,3,16,196
79,7,0,5,1,11,7,0,0,2,10,3,0,8,0,18,6,0,0,1,4,0,9,0,2,2,12,9,0,1,0,4.848484848484849,1,2,3,8,66
80,17,0,36,4,47,23,1,0,9,46,7,0,32,0,32,20,1,1,3,13,0,21,0,9,5,23,13,0,4,2,4.896103896103896,6,9,3,22,231
81,14,1,25,1,49,10,1,0,8,36,4,0,38,1,28,35,0,0,0,10,0,27,4,12,6,15,14,8,5,0,4.960199004975125,5,7,3,18,201
82,4,3,39,0,39,36,0,0,5,71,9,0,19,0,29,17,0,0,0,12,0,23,4,12,7,19,10,4,4,2,5.111111111111111,6,20,4,20,216
83,14,1,21,2,39,23,0,0,7,37,11,1,25,0,34,22,0,0,1,5,0,15,3,3,5,26,7,2,4,1,3.311418685121107,5,12,3,14,289
84,10,0,20,2,32,24,0,0,23,41,9,0,33,0,17,15,0,0,2,14,0,34,1,4,7,15,7,4,5,0,5.520618556701031,5,13,3,22,194
85,15,3,34,0,40,25,0,0,12,57,7,0,36,0,20,12,0,0,3,9,0,24,7,7,8,13,12,3,2,4,5.690140845070423,5,8,4,14,213
86,14,0,27,0,44,20,0,0,12,43,9,0,16,0,31,17,0,0,2,24,0,32,2,4,6,26,6,1,2,0,4.911764705882353,2,14,3,16,170
87,3,0,12,0,25,9,1,0,4,9,0,0,11,0,11,8,1,0,0,5,0,11,0,2,8,5,5,0,1,0,5.7,1,5,3,9,80
88,2,0,11,1,10,2,1,1,2,5,0,0,8,0,4,8,0,0,0,1,0,4,0,1,0,8,1,0,0,1,4.27906976744186,1,8,1,2,43
89,16,1,24,14,58,27,0,2,26,62,10,0,27,0,43,17,0,1,1,9,0,34,4,5,1,18,11,0,7,5,5.246808510638298,9,26,4,23,235
90,7,0,25,5,33,8,3,0,14,20,5,0,30,0,17,6,0,0,4,10,0,24,0,6,2,11,2,3,5,0,5.178294573643411,5,3,2,16,129
91,33,4,64,5,80,36,1,0,13,76,11,0,36,0,78,25,1,1,2,12,0,35,31,12,8,36,12,0,10,2,4.955696202531645,11,24,4,34,316
92,10,1,12,0,29,19,1,0,6,31,6,0,24,1,33,21,0,0,1,17,0,17,13,2,7,21,4,3,1,1,5.537037037037037,2,12,3,13,162
93,13,0,29,0,28,17,0,0,8,45,12,0,21,0,26,17,0,0,3,8,0,15,1,11,9,14,11,0,2,2,5.7032967032967035,1,12,4,17,182
94,35,9,61,4,83,40,0,2,6,89,11,2,43,0,88,53,0,0,8,26,0,33,7,19,9,44,12,4,5,5,4.961643835616439,8,18,4,40,365
95,28,6,108,5,141,71,1,5,34,167,31,1,81,1,84,48,1,0,4,25,0,64,16,20,38,35,29,4,7,8,5.8432,6,25,4,52,625
96,21,5,69,1,85,38,0,1,4,76,20,0,64,0,48,21,1,0,2,22,0,20,21,11,15,26,10,1,4,5,5.766355140186916,5,21,4,23,321
97,12,3,78,0,89,36,5,0,20,110,9,0,48,0,32,34,1,0,3,16,0,39,14,13,18,15,10,8,9,1,5.631578947368421,11,13,4,25,361
98,11,0,40,1,38,19,0,0,14,46,6,0,22,0,21,15,0,0,0,21,0,33,3,3,13,15,10,2,3,0,5.154255319148936,3,20,3,21,188
99,28,4,63,0,75,31,1,1,26,95,40,0,39,0,41,27,0,0,4,10,0,38,2,13,16,13,21,5,4,2,5.913649025069638,5,35,5,30,359
100,31,3,39,3,64,29,5,1,9,48,4,0,43,0,45,22,3,0,0,9,0,20,1,3,4,39,16,6,2,1,5.036199095022624,2,14,3,18,221
101,16,0,38,2,45,20,0,1,13,32,6,0,36,1,43,28,0,0,5,28,0,42,4,9,3,24,13,2,6,7,4.642857142857143,4,9,3,19,210
102,11,2,51,1,58,24,1,1,14,63,12,0,32,0,44,27,0,0,3,14,0,26,8,8,17,18,11,3,4,2,5.283636363636363,5,6,4,32,275
103,16,0,30,0,33,19,2,0,4,55,22,0,23,0,28,11,1,0,2,10,0,20,3,4,7,20,4,1,4,5,4.87378640776699,6,28,4,17,206
104,7,1,24,1,29,20,0,0,11,20,13,0,26,0,15,14,0,0,2,9,0,18,0,4,2,14,6,1,2,0,5.9928057553956835,2,9,3,16,139
105,7,0,36,1,32,11,1,0,5,37,11,1,47,0,25,13,0,0,2,15,0,28,7,2,6,15,2,4,0,5,5.175824175824176,2,9,3,15,182
106,18,1,46,2,44,33,1,0,24,60,8,0,31,0,52,25,0,0,3,14,0,39,7,5,8,21,13,7,6,4,5.038022813688213,8,7,3,25,263
107,5,0,22,0,32,11,0,0,7,15,1,0,17,0,21,4,0,0,1,1,0,12,0,3,5,15,7,1,1,1,4.574257425742574,1,7,3,13,101
108,5,0,15,1,10,2,1,0,8,4,2,0,17,0,9,2,0,0,2,2,0,11,1,4,2,11,3,1,2,4,4.235294117647059,4,1,2,9,68
109,0,0,2,0,1,0,0,0,1,0,146,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.630573248407643,0,3,2,5,157
110,9,0,38,2,38,18,0,0,20,48,5,1,38,2,18,10,0,0,0,16,0,36,3,1,6,12,9,1,3,1,5.025773195876289,3,6,3,26,194
111,17,0,29,1,29,24,0,0,8,33,6,0,35,0,18,16,0,0,8,12,0,21,5,12,12,13,3,2,1,1,5.424083769633508,1,6,3,12,191
112,6,0,28,1,42,27,1,0,19,31,11,0,25,0,34,29,0,0,2,10,0,35,8,8,7,22,2,8,4,2,5.055555555555555,4,4,3,26,198
113,4,1,21,0,31,7,1,1,8,32,1,0,11,0,9,12,1,0,1,5,0,14,1,3,1,5,4,1,0,0,5.440860215053763,0,8,2,9,93
114,5,0,13,3,14,11,0,0,6,18,3,0,16,0,23,11,0,0,3,10,0,17,0,2,1,18,2,1,1,0,3.8679245283018866,1,10,3,8,106
115,20,1,20,0,28,20,2,0,8,34,18,0,28,0,15,9,0,0,1,6,0,14,0,5,5,7,4,2,0,1,4.659217877094972,0,20,3,14,179
116,21,0,31,0,32,22,0,0,10,37,8,0,24,1,42,18,1,0,8,20,0,34,2,4,2,20,5,1,3,3,4.666666666666667,5,3,4,13,177
117,9,0,20,0,19,11,0,0,4,29,4,0,10,0,9,3,0,0,3,4,0,9,1,2,2,3,6,1,1,1,4.7073170731707314,2,12,2,6,82
118,4,2,12,0,11,4,3,0,8,14,4,0,7,0,16,13,3,0,1,7,0,18,0,1,1,7,2,1,1,0,4.805194805194805,1,4,1,11,77
119,13,1,33,4,42,18,1,0,7,55,38,0,22,1,48,34,0,0,2,15,0,20,8,7,9,36,15,3,7,6,4.543165467625899,7,44,3,23,278
120,5,1,28,0,18,15,1,0,5,24,7,0,27,0,12,6,0,0,0,12,0,17,4,0,1,14,3,0,0,1,5.3884297520661155,0,12,3,13,121
121,23,2,48,4,78,60,6,0,13,83,16,0,44,0,44,41,3,0,3,16,0,27,8,16,3,22,18,5,6,7,5.504643962848297,13,14,4,23,323
122,22,0,37,0,34,21,0,0,3,42,10,0,25,0,48,15,0,0,0,17,0,17,6,9,5,34,3,3,2,6,5.933734939759036,5,14,3,17,166
123,8,0,17,2,24,9,1,0,8,24,2,0,22,0,11,11,0,0,0,5,0,14,0,9,5,8,10,1,2,1,4.919354838709677,3,9,3,12,124
124,11,3,20,0,26,15,1,1,5,45,6,1,25,0,23,9,1,0,0,9,0,16,2,5,5,14,5,2,1,4,5.467948717948718,2,2,3,17,156
125,15,0,21,2,34,8,1,1,7,24,4,0,36,0,38,15,0,1,1,15,0,18,4,11,4,26,3,2,6,2,4.944099378881988,7,14,3,18,161
126,12,0,47,0,69,30,2,0,27,83,16,0,46,0,84,28,0,0,3,18,0,48,9,21,11,37,24,4,11,8,5.531976744186046,11,35,5,41,344
127,10,1,18,1,16,12,0,0,9,19,6,0,15,0,23,17,0,0,1,9,0,12,5,1,10,11,4,3,1,2,5.162393162393163,1,4,3,14,117
128,21,0,55,1,74,44,0,1,18,85,16,0,61,0,39,33,2,0,3,20,0,33,2,17,12,21,17,3,2,5,5.9054441260744985,6,13,4,29,349
129,23,1,33,0,58,36,0,0,15,46,12,0,36,0,33,22,0,0,2,13,0,28,12,8,20,20,12,4,6,3,5.974789915966387,6,13,3,16,238
130,11,4,24,0,33,18,0,0,6,35,4,0,21,0,14,8,0,0,2,17,0,22,1,2,10,14,14,0,5,2,5.741935483870968,6,0,3,13,155
131,14,2,31,2,50,23,1,1,6,53,22,0,45,0,51,18,1,0,1,12,0,23,13,3,5,30,10,2,3,2,4.794117647058823,3,26,3,21,272
132,7,1,20,2,21,16,0,0,6,34,6,0,25,0,18,7,0,0,0,8,0,15,4,1,3,17,0,0,2,0,5.444444444444445,2,11,3,12,144
133,11,0,47,1,53,14,1,0,10,54,4,0,28,0,16,9,0,0,3,13,0,23,3,2,4,12,8,1,3,0,5.021621621621621,4,15,3,16,185
134,9,1,17,0,27,20,1,0,4,27,3,0,20,0,17,18,2,0,0,11,0,15,2,3,10,17,6,1,2,2,5.261437908496732,4,5,3,12,153
135,10,1,22,0,18,17,1,0,9,20,4,1,21,0,34,14,0,0,2,17,0,26,9,4,8,17,3,1,0,7,5.142857142857143,4,5,3,16,154
136,26,0,54,5,50,35,2,0,13,63,14,1,45,0,33,33,0,0,1,26,0,38,3,7,9,27,12,5,9,1,5.403448275862069,10,20,4,27,290
137,15,0,46,3,56,30,2,1,13,36,3,0,41,1,25,25,0,0,3,17,0,29,9,5,9,20,1,3,2,0,5.1940298507462686,2,4,4,14,201
138,18,0,23,1,25,18,0,0,7,32,2,0,34,0,24,2,0,0,1,8,0,17,0,5,5,18,7,0,2,3,4.590062111801243,5,3,3,15,161
139,10,0,36,9,44,14,0,0,15,34,4,0,30,1,19,11,0,0,1,13,0,25,0,6,5,11,10,1,6,5,4.721212121212122,8,8,3,15,165
140,5,0,22,0,25,3,1,0,5,27,1,0,9,1,8,9,0,0,0,6,0,11,0,5,0,5,1,1,0,0,4.802469135802469,0,10,2,9,81
141,19,4,58,4,69,29,1,2,18,64,5,1,48,0,26,38,2,0,0,15,0,33,4,10,19,7,22,6,0,2,6.150537634408602,2,10,4,26,279
142,10,4,31,4,53,27,0,0,7,70,21,0,22,0,37,17,0,0,2,20,0,24,6,5,6,15,17,3,3,2,5.451882845188284,3,26,3,24,239
143,14,0,40,1,55,20,1,1,8,58,16,0,35,0,37,15,0,0,3,15,0,20,8,10,11,21,9,1,5,1,5.802575107296137,5,16,4,17,233
144,17,0,54,2,48,27,1,0,9,70,17,0,26,0,22,23,1,0,3,12,0,17,9,5,10,17,12,1,4,1,5.029045643153527,3,15,4,16,241
145,8,1,36,5,29,20,1,0,8,39,9,0,18,0,13,10,0,0,1,12,0,18,4,3,4,13,8,4,3,2,5.943262411347518,2,9,4,15,141
146,18,2,36,1,33,19,0,2,10,53,7,0,16,0,44,17,1,0,4,10,0,24,4,4,10,20,9,4,0,2,4.758620689655173,2,9,4,23,203
147,34,3,56,7,69,42,5,2,19,77,16,1,59,2,34,52,1,2,3,24,0,41,7,8,9,36,21,3,9,6,5.126843657817109,13,31,4,31,339
148,38,2,47,0,52,31,3,0,8,83,14,3,47,0,22,27,1,0,3,15,0,16,6,17,14,16,13,0,2,3,5.832752613240418,4,31,4,20,287
149,9,0,41,5,63,30,1,1,7,53,10,1,34,0,39,17,2,0,2,17,0,30,2,4,1,29,7,1,1,1,5.175438596491228,3,19,3,23,228
150,14,0,38,0,46,25,0,0,14,44,15,1,37,0,46,29,0,0,1,4,0,19,4,4,3,23,16,1,4,3,5.056034482758621,5,15,4,24,232
151,42,7,102,3,117,38,0,1,26,111,21,0,46,1,100,51,2,0,2,28,0,57,7,17,24,58,31,3,11,7,5.330543933054393,13,12,4,27,478
152,22,1,48,0,65,27,1,0,21,76,13,0,43,0,15,26,0,0,1,16,0,32,1,12,9,8,8,2,5,2,6.011278195488722,6,14,4,19,266
153,13,1,28,0,32,15,1,0,7,27,5,0,28,1,21,26,0,0,1,11,0,20,4,10,11,13,4,0,2,5,5.58,5,3,4,12,150
154,15,0,34,2,44,9,0,0,13,55,52,0,28,0,27,21,0,0,0,10,0,25,2,5,2,22,6,1,2,2,4.382758620689655,2,44,3,22,290
155,11,1,47,0,45,27,5,0,21,64,8,0,29,0,25,19,0,0,7,26,0,43,2,12,6,22,12,5,4,0,5.333333333333333,4,13,4,26,261
156,15,0,61,2,60,29,1,0,15,64,8,0,35,0,34,20,1,1,3,17,0,28,6,7,15,27,8,1,7,3,5.130769230769231,10,20,4,26,260
157,9,1,31,0,35,14,5,1,10,39,4,0,18,0,31,13,0,0,4,10,0,20,3,5,3,19,7,0,4,4,5.397260273972603,5,10,3,10,146
158,17,0,21,2,46,30,1,1,16,45,7,0,20,0,43,26,0,0,5,11,0,30,2,29,10,27,11,8,2,9,4.995515695067264,2,9,4,22,223
159,16,0,40,0,27,19,0,1,9,54,10,0,30,0,16,22,0,0,4,10,0,18,0,8,3,14,15,0,3,1,5.4088669950738915,4,7,3,22,203
160,6,0,39,2,31,19,0,1,9,46,5,0,33,0,24,16,0,0,2,22,0,27,5,5,8,12,9,3,5,0,5.588235294117647,5,4,4,18,187
161,14,1,23,1,43,21,0,0,7,49,5,0,33,0,42,21,1,0,3,10,0,16,15,9,4,19,6,4,6,3,4.449781659388647,8,23,3,24,229
162,10,1,36,0,57,31,0,0,6,43,3,1,47,0,38,22,1,0,2,15,0,22,0,5,5,42,8,8,1,4,5.278260869565218,4,14,4,14,230
163,22,0,30,1,48,25,0,2,20,46,20,0,37,0,36,16,0,0,0,15,0,38,2,3,19,34,9,6,10,2,5.067226890756302,11,20,3,29,238
164,28,0,30,7,53,32,1,0,6,53,5,0,30,0,55,41,1,0,3,16,0,33,2,10,5,33,8,2,6,4,5.144,8,7,4,16,250
165,16,0,22,0,29,24,1,0,9,42,13,1,21,0,42,14,1,0,3,23,0,29,3,3,13,15,9,4,3,1,5.6521739130434785,4,21,3,14,161
166,14,0,20,2,37,17,0,0,1,43,14,0,17,0,24,15,0,0,0,13,0,20,2,9,15,11,11,1,2,2,5.99438202247191,4,20,4,17,178
167,15,0,76,1,53,37,3,1,10,88,17,0,49,0,28,28,0,0,8,25,0,34,2,7,6,15,28,3,0,5,5.325373134328358,0,18,4,34,335
168,7,1,20,0,27,12,0,0,7,27,5,0,18,0,28,4,0,0,0,3,0,15,1,1,9,19,4,2,0,0,4.717948717948718,0,7,3,10,117
169,1,0,0,0,1,0,0,0,1,0,86,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,4.0,0,1,2,6,100
170,6,0,15,2,28,9,0,0,6,35,1,0,10,0,25,7,0,0,1,5,0,10,1,1,2,10,9,4,1,5,5.041666666666667,8,9,3,10,96
