,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,NONE,PDT,PRP,RB,RBR,RBS,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,score,sentenceNumber,wordNumber
21,1,0,3,0,5,1,2,0,0,9,4,0,1,0,0,5,1,0,0,0,2,2,1,1,0,2,0,0,0,0,5.4,0,4,1,3,25
22,2,0,16,0,16,9,0,1,1,25,7,0,4,0,0,10,7,0,0,0,9,8,3,2,3,2,7,2,0,2,5.186813186813187,2,6,3,6,91
23,1,0,5,0,6,2,1,0,1,6,2,0,0,0,0,5,2,0,0,0,3,4,2,0,2,2,1,0,1,0,3.638888888888889,1,2,1,3,36
24,2,0,17,0,10,3,0,0,1,16,2,0,5,0,0,4,3,0,0,0,6,7,0,1,1,3,4,1,0,2,5.086956521739131,1,6,2,5,46
25,4,0,29,0,14,7,0,1,6,36,7,0,4,0,0,12,10,0,0,0,5,11,4,1,5,6,9,0,2,3,5.75,1,4,2,14,112
26,5,0,16,0,12,2,0,0,5,15,0,0,3,0,0,17,9,0,0,0,3,6,2,4,2,5,5,1,0,3,4.607142857142857,1,1,1,6,56
27,3,0,9,0,10,3,0,0,3,16,3,0,5,0,0,8,5,0,0,0,9,8,0,7,2,0,9,0,0,5,5.870967741935484,1,5,2,7,62
28,6,0,23,0,19,8,0,0,0,29,0,0,2,0,0,3,4,0,0,0,4,4,0,14,0,0,12,0,0,5,5.5,1,8,3,7,78
29,1,0,9,0,8,4,1,0,1,12,3,0,5,0,0,10,4,0,1,0,0,1,4,2,1,2,4,0,1,5,5.833333333333333,3,4,1,6,42
30,1,0,5,0,6,5,0,0,2,11,1,0,1,0,0,10,1,0,0,0,3,3,4,0,0,0,1,0,0,0,5.0,0,0,2,6,32
31,1,0,7,0,5,0,1,1,3,14,3,0,0,0,0,8,1,0,0,0,0,4,3,1,0,1,1,1,0,0,5.114285714285714,0,3,1,8,35
32,7,0,24,0,20,8,2,3,2,39,3,0,2,0,0,15,6,0,0,0,9,8,4,11,1,0,9,0,0,2,5.75,0,2,3,10,96
33,4,0,10,0,14,5,0,0,1,19,6,0,1,0,0,8,2,0,0,0,2,4,1,0,0,0,11,1,0,0,6.423076923076923,1,5,2,7,52
34,2,0,10,2,10,6,1,0,1,19,0,0,6,0,0,9,4,0,0,0,5,3,3,2,0,0,5,1,0,3,5.36,2,3,1,4,50
35,9,0,16,0,7,3,0,0,5,22,0,0,2,0,0,19,10,1,0,2,5,12,3,4,3,5,8,0,1,3,4.5,1,2,2,7,78
36,2,0,6,0,4,0,0,0,0,6,0,0,2,0,1,0,4,0,0,0,1,1,2,2,0,1,2,0,0,0,5.25,0,0,0,3,20
37,4,0,16,0,17,5,1,0,5,28,2,0,1,0,0,25,9,0,0,3,1,6,1,5,0,12,6,0,0,2,4.571428571428571,0,1,2,9,91
38,1,0,4,0,3,1,0,0,0,6,1,0,2,0,0,3,4,0,0,0,2,1,2,2,0,1,2,0,0,1,5.2727272727272725,0,1,0,4,22
39,1,0,19,0,23,7,0,0,2,29,1,0,3,1,0,13,12,0,1,1,5,4,3,4,2,0,17,1,0,6,5.280898876404494,3,1,3,7,89
40,10,0,20,0,21,13,0,0,5,32,2,0,2,0,0,21,16,0,0,1,3,9,1,4,2,0,14,0,0,1,5.458333333333333,0,1,3,9,96
41,4,0,12,0,10,5,0,1,1,18,9,0,6,0,0,11,5,0,0,0,3,3,2,0,2,2,11,1,0,3,5.544117647058823,0,8,2,5,68
42,4,1,16,0,17,0,0,0,6,17,2,0,4,0,0,13,12,1,0,3,8,13,2,8,0,2,7,2,0,1,5.390243902439025,1,7,2,11,82
43,3,2,16,0,10,6,1,0,0,19,2,0,4,0,0,12,5,0,0,1,4,2,9,2,2,2,6,0,0,3,5.630769230769231,0,2,2,10,65
44,4,0,7,0,4,1,0,0,0,7,0,0,3,0,0,5,1,1,0,0,1,0,4,0,0,0,1,1,0,0,6.25,0,0,0,2,16
45,2,0,14,0,10,5,0,0,1,17,4,0,2,0,0,15,4,0,0,0,4,3,1,0,0,8,6,0,0,5,5.5964912280701755,0,2,1,9,57
46,2,0,15,0,22,6,1,0,1,18,1,0,1,0,0,18,3,0,0,0,3,3,3,1,3,2,12,0,1,1,5.133333333333334,0,1,2,8,60
47,1,0,8,0,6,1,0,1,1,12,0,0,0,0,0,10,6,0,0,0,2,2,1,5,1,1,7,0,0,3,5.194444444444445,0,0,1,5,36
48,7,1,22,1,22,10,0,0,0,31,7,0,5,0,0,16,9,0,0,0,7,6,5,8,2,1,13,3,0,4,5.826086956521739,0,5,3,9,92
49,0,0,9,0,7,2,1,0,2,14,1,0,1,0,0,5,2,0,0,0,3,5,1,2,0,3,5,0,0,3,5.078947368421052,0,2,1,6,38
50,0,0,12,0,12,3,0,0,1,13,7,0,1,0,0,6,2,0,0,0,2,2,4,1,1,2,3,0,0,2,4.785714285714286,1,4,1,3,42
51,5,0,19,0,20,11,0,0,4,33,13,0,11,0,0,24,5,0,0,0,7,9,5,0,4,3,14,1,1,2,5.339130434782609,1,6,2,17,115
52,1,0,6,0,10,2,0,0,1,10,0,0,2,0,0,9,5,0,0,0,3,5,4,2,1,2,2,2,0,1,5.297297297297297,0,4,2,6,37
53,1,0,21,0,19,5,0,0,0,17,4,1,0,0,0,13,4,0,0,0,1,1,8,0,2,0,5,0,0,5,5.454545454545454,1,4,0,8,55
54,3,0,7,0,7,2,0,0,2,10,2,0,2,0,0,4,0,0,0,0,6,9,0,1,0,0,7,1,0,3,5.5,1,2,0,3,36
55,4,0,17,0,20,4,2,0,2,21,7,0,2,0,0,8,4,0,0,0,6,6,2,2,0,0,12,2,0,4,5.593220338983051,0,6,1,7,59
56,3,0,12,0,11,4,0,0,0,24,7,0,4,0,0,6,3,0,0,0,4,3,0,1,0,2,5,0,0,1,6.537037037037037,0,4,3,8,54
57,2,0,4,0,2,0,0,0,0,7,1,0,1,0,0,6,2,0,0,0,4,3,5,0,2,2,0,0,0,2,5.208333333333333,0,1,0,3,24
58,4,1,10,0,19,7,0,1,2,24,2,0,5,0,0,22,8,0,0,0,5,5,6,9,1,5,12,1,5,5,5.414634146341464,8,7,2,6,82
59,6,0,13,0,19,4,1,0,2,22,6,0,4,0,0,14,14,0,0,1,7,5,1,2,1,1,12,2,2,2,5.183098591549296,2,4,2,7,71
60,6,0,13,1,18,8,0,0,4,27,12,0,6,0,0,16,12,0,0,0,8,9,2,6,2,3,15,1,1,3,5.6826923076923075,2,12,3,8,104
61,1,1,9,0,11,3,0,0,1,16,2,0,2,0,0,13,5,0,0,0,5,5,7,1,2,1,2,0,0,1,5.326086956521739,0,3,2,7,46
62,3,0,15,0,10,0,2,0,2,22,1,0,1,0,0,7,3,0,0,0,0,3,2,1,0,3,5,0,0,1,4.891304347826087,0,1,1,5,46
63,3,0,5,0,3,1,0,0,1,7,4,0,0,0,0,6,4,0,0,0,1,3,4,1,2,1,3,0,0,1,5.035714285714286,1,6,1,2,28
64,0,0,11,0,10,2,0,0,2,10,1,0,0,0,0,5,0,0,0,0,3,4,3,0,0,2,1,1,1,1,4.84375,2,2,0,4,32
65,2,0,10,0,11,3,1,0,2,15,2,0,1,0,0,12,4,0,0,0,2,3,5,4,1,2,7,0,2,2,5.352941176470588,3,2,1,8,51
66,2,0,9,0,7,2,0,0,3,14,0,0,1,0,0,9,5,0,0,0,1,3,1,2,0,2,5,0,0,1,4.973684210526316,0,0,1,4,38
67,2,1,7,0,12,1,0,0,3,13,2,0,1,0,0,13,7,0,0,0,0,3,0,3,1,0,11,1,0,3,5.631578947368421,1,5,0,4,38
68,2,0,4,0,9,2,0,0,2,6,1,0,1,0,0,11,3,0,0,0,1,3,4,0,0,1,3,0,0,2,5.133333333333334,1,1,3,5,30
69,0,0,3,0,3,0,0,0,0,3,0,0,1,0,0,2,1,0,0,1,1,1,0,0,1,0,2,0,0,0,6.0,0,0,1,2,8
70,7,0,11,0,11,7,1,0,4,22,2,0,6,0,0,11,11,0,0,1,3,8,2,4,0,6,3,2,0,4,5.826086956521739,1,3,2,3,69
71,2,0,3,0,9,3,0,0,2,7,2,0,2,0,0,9,5,0,0,1,1,3,1,2,0,1,2,0,0,0,4.72,0,1,1,4,25
72,4,0,15,0,23,10,1,0,4,25,15,3,2,0,0,22,8,0,0,0,9,11,5,5,1,2,13,1,0,7,5.598039215686274,0,9,2,7,102
73,3,0,6,0,5,2,0,0,1,7,0,0,1,0,0,4,3,0,0,0,4,5,1,2,1,0,3,1,0,0,4.703703703703703,0,1,1,4,27
74,4,0,10,0,12,5,0,0,4,23,3,0,4,0,0,9,5,0,0,0,3,9,3,2,2,1,4,0,0,1,5.1571428571428575,0,4,1,8,70
75,1,0,5,0,10,0,0,0,0,8,0,0,2,0,0,5,2,0,0,1,2,3,0,5,0,2,4,1,2,0,5.5,3,0,1,2,22
76,5,0,18,0,11,3,0,0,6,29,8,0,3,0,0,10,5,0,0,0,3,9,2,7,3,1,5,0,0,4,5.406593406593407,0,7,3,11,91
77,5,0,16,0,13,10,0,0,2,19,2,0,12,0,0,14,5,0,0,0,6,7,0,4,0,3,11,1,1,1,5.454545454545454,2,7,2,8,77
78,10,1,30,0,16,8,0,0,6,45,15,0,6,1,0,19,6,0,0,0,12,16,2,7,1,2,17,0,1,4,5.638461538461539,1,11,3,10,130
79,1,0,10,0,6,0,0,0,1,9,1,0,0,0,0,7,4,1,0,1,3,4,4,2,0,2,4,0,1,1,4.354838709677419,1,1,1,5,31
80,1,0,8,0,4,0,1,0,1,11,1,0,0,0,0,9,2,0,0,1,3,3,5,1,1,0,5,0,2,2,4.764705882352941,3,2,1,5,34
81,0,0,13,1,14,3,0,0,5,17,3,0,0,0,0,9,10,0,0,0,2,7,0,0,2,5,2,0,1,1,4.783333333333333,1,2,1,7,60
82,4,0,21,0,13,9,0,0,6,25,1,0,0,0,0,5,4,0,0,0,2,8,1,0,0,1,5,0,0,2,5.066666666666666,0,1,2,3,60
83,6,0,19,0,12,5,0,0,3,24,1,0,1,0,0,4,5,0,0,0,4,9,0,5,1,0,6,0,0,1,5.766666666666667,0,2,3,6,60
84,2,0,13,0,11,2,1,0,2,11,8,0,3,0,0,7,5,0,0,0,4,6,0,2,0,3,3,0,0,2,5.083333333333333,1,7,0,5,48
85,1,2,27,0,18,9,0,0,2,35,9,0,6,0,0,10,7,0,0,0,9,8,3,2,2,1,11,1,1,1,5.463157894736842,1,4,3,10,95
86,1,0,7,0,4,1,0,0,3,7,0,0,1,0,0,6,3,0,0,0,1,4,2,1,0,1,2,0,0,2,4.703703703703703,1,0,0,2,27
87,3,1,15,0,14,4,0,0,0,18,7,1,3,0,0,11,5,0,0,1,1,0,9,4,2,0,10,0,1,2,6.033333333333333,3,5,1,9,60
88,6,0,7,0,11,4,0,0,0,16,3,0,2,0,0,13,5,0,0,0,6,5,3,6,1,2,4,0,0,2,2.361111111111111,0,2,2,6,108
89,2,0,10,0,8,4,0,0,0,10,0,0,0,0,0,9,2,0,0,0,6,6,7,1,3,0,6,0,1,1,5.435897435897436,1,3,1,5,39
90,4,0,6,0,5,1,0,0,2,15,1,0,1,0,0,10,2,0,0,1,5,7,3,1,0,0,3,0,1,1,4.485714285714286,1,1,1,3,35
91,7,0,22,0,10,7,0,0,2,30,13,0,1,0,0,7,3,1,0,0,6,6,3,5,3,0,4,0,0,3,5.632911392405063,1,5,3,7,79
92,2,0,16,0,13,7,0,0,2,21,3,0,9,0,0,13,8,0,0,2,6,7,1,1,2,4,8,1,2,3,5.763888888888889,2,6,3,8,72
93,1,0,10,0,6,2,0,0,0,10,0,0,0,0,0,2,2,0,0,0,3,3,3,3,1,0,2,0,0,1,5.384615384615385,0,0,1,3,26
94,3,0,17,0,7,8,0,0,1,28,1,0,2,0,0,14,4,1,0,0,5,4,1,3,0,0,12,0,0,3,5.343283582089552,0,2,2,8,67
95,1,0,5,0,4,0,0,0,0,4,1,0,2,0,0,5,2,0,0,0,2,3,0,0,0,0,4,0,0,1,5.095238095238095,0,1,0,5,21
96,4,0,13,0,15,11,0,0,2,18,6,0,4,0,0,20,9,0,0,0,8,7,7,6,8,2,6,1,0,1,5.857142857142857,0,7,3,9,77
97,1,0,9,0,6,0,0,0,2,11,32,1,0,0,0,11,2,0,0,0,5,4,2,1,1,2,4,2,0,2,4.785714285714286,1,35,1,7,70
98,0,0,10,0,9,4,0,0,2,8,1,0,5,0,0,9,5,0,0,0,2,2,4,2,3,0,6,0,0,1,5.878048780487805,0,4,1,7,41
99,4,1,12,0,15,1,0,0,1,17,2,0,1,0,0,10,5,0,0,0,4,5,0,4,2,0,12,0,0,1,5.875,1,1,2,7,48
100,2,0,12,0,11,4,0,0,3,10,0,0,0,0,0,12,2,0,0,1,5,6,1,1,0,4,4,0,0,0,4.6571428571428575,0,3,1,4,35
101,1,0,5,0,5,0,0,0,0,4,0,0,3,0,0,4,3,0,0,0,1,2,0,1,0,2,3,0,0,0,5.5625,0,1,0,2,16
102,5,0,10,0,11,2,0,0,0,21,8,0,1,0,0,9,5,0,0,0,5,3,1,3,0,0,8,0,0,1,4.935483870967742,0,4,2,4,62
103,0,0,9,0,10,2,0,0,3,7,0,0,1,0,0,4,6,0,0,0,0,4,1,2,0,1,3,0,1,1,4.5,1,2,1,4,34
104,4,0,12,0,11,2,0,0,3,14,1,0,1,0,0,15,9,0,0,0,1,4,1,3,0,4,9,0,0,4,4.795454545454546,0,1,2,5,44
105,1,0,6,0,3,0,0,0,1,14,2,0,1,0,0,4,1,0,0,0,3,3,2,2,1,0,3,1,0,2,5.9,0,1,2,4,30
106,3,0,23,0,12,11,0,0,3,30,12,0,3,0,0,18,7,0,0,1,5,9,13,5,3,2,9,1,1,1,5.537634408602151,1,9,2,13,93
107,2,0,7,0,7,1,0,0,0,9,3,0,0,0,0,9,1,0,0,1,1,0,7,3,1,0,0,0,0,0,5.642857142857143,0,3,1,5,28
108,3,1,11,0,10,3,0,0,2,19,0,0,1,0,0,12,5,0,0,0,2,4,2,1,1,5,7,1,0,5,5.2745098039215685,1,3,1,5,51
109,6,0,11,1,10,7,0,0,1,19,8,0,0,0,0,12,3,0,0,0,7,6,9,7,3,0,1,0,0,3,6.0,1,5,2,6,55
110,2,0,23,0,20,6,0,0,3,31,9,0,4,0,0,19,8,0,0,0,9,9,1,6,1,3,11,2,0,1,6.337078651685394,0,9,3,9,89
111,5,1,25,0,17,7,1,0,2,27,3,0,1,0,0,9,5,0,0,0,8,8,1,5,3,3,8,2,0,3,5.621621621621622,2,1,3,7,74
112,1,0,3,0,1,0,0,1,1,3,0,0,1,0,0,3,2,0,0,0,2,3,0,2,0,1,2,0,0,0,5.235294117647059,0,1,0,4,17
113,2,0,8,0,5,1,0,0,2,10,2,0,4,0,0,7,4,0,0,1,2,2,4,1,1,2,2,0,0,1,5.09375,0,2,0,3,32
114,5,0,12,0,14,2,2,0,1,21,10,1,1,0,0,9,9,0,0,0,7,6,5,3,1,2,7,0,0,2,5.115942028985507,0,9,2,6,69
115,0,0,3,0,5,2,0,0,0,9,3,0,0,0,0,10,6,0,0,0,3,2,3,0,3,0,3,0,1,1,5.147058823529412,1,4,0,1,34
116,8,0,24,0,20,7,1,0,5,39,6,1,8,0,0,20,14,0,0,1,9,12,4,8,1,1,15,1,1,5,5.451612903225806,3,7,3,13,124
117,1,0,8,0,6,1,1,0,2,9,1,0,1,0,0,10,3,0,0,0,3,4,2,0,0,2,3,1,0,0,5.166666666666667,0,2,1,4,30
118,8,0,47,1,32,11,0,0,2,57,1,0,7,0,0,12,8,0,0,0,13,17,2,6,0,4,16,2,1,1,5.626760563380282,3,2,3,12,142
119,0,0,5,0,8,1,0,0,0,4,4,0,1,0,0,5,1,1,0,0,1,1,0,3,0,1,6,0,0,1,5.761904761904762,0,6,1,3,21
120,4,0,18,0,10,0,0,0,3,25,6,0,2,0,0,9,11,0,0,0,5,6,5,2,1,2,7,0,0,3,6.149253731343284,0,5,2,6,67
121,1,0,5,0,3,1,0,0,1,6,2,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,5.352941176470588,0,2,1,2,17
122,3,0,12,0,8,1,0,1,2,17,1,0,2,0,0,8,5,0,0,0,4,5,2,1,0,3,5,0,0,2,5.28,0,4,1,5,50
123,6,0,12,0,19,3,0,0,2,23,0,0,2,0,0,10,5,1,0,0,14,15,2,2,1,3,2,0,2,0,5.741379310344827,2,5,2,3,58
124,2,0,13,0,7,2,0,0,3,19,1,0,2,0,0,9,0,0,0,0,3,7,0,2,0,0,7,0,0,1,5.866666666666666,0,1,2,6,45
125,2,0,29,0,22,7,0,0,3,40,4,0,4,0,0,7,2,1,0,0,4,6,2,5,2,2,5,0,0,1,5.914634146341464,0,10,2,11,82
126,0,0,1,0,3,0,1,0,1,1,1,0,1,0,0,4,2,0,0,2,0,1,0,0,2,1,3,0,0,0,4.7,0,1,1,3,10
127,7,0,24,1,24,7,2,0,0,43,7,0,11,0,1,27,12,0,0,0,7,6,14,5,5,6,10,0,0,6,5.292307692307692,2,17,3,11,130
128,2,0,7,0,4,1,0,0,1,8,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,1,5,0,2,0,5.222222222222222,2,0,0,2,18
129,2,0,6,0,6,0,0,0,0,8,3,0,1,0,0,3,0,0,0,1,2,3,4,0,3,2,0,0,1,1,5.291666666666667,2,4,0,3,24
130,1,0,6,0,4,2,0,0,1,9,2,0,1,0,0,4,2,0,0,1,3,3,2,1,0,0,5,0,0,0,5.538461538461538,0,3,0,4,26
131,0,0,4,0,4,0,0,0,1,3,0,0,1,0,0,3,1,0,0,0,1,2,0,1,0,1,1,0,0,0,6.090909090909091,0,0,0,2,11
132,3,0,9,0,8,6,6,0,0,14,3,0,0,0,0,11,5,1,0,0,6,3,6,1,2,1,7,0,0,4,5.74,2,4,2,6,50
133,7,0,9,0,19,8,2,0,5,24,12,0,9,1,0,23,12,0,0,0,3,8,6,1,2,2,13,1,0,4,5.63,2,8,2,6,100
134,1,0,9,0,7,4,0,0,0,10,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,5.318181818181818,0,2,1,3,22
135,5,0,19,0,19,2,0,0,3,26,8,0,1,0,0,12,7,0,0,1,6,6,6,2,1,5,4,0,0,1,5.333333333333333,1,7,3,8,66
136,2,0,8,0,5,2,2,0,0,7,3,0,2,0,0,4,2,0,0,0,3,6,1,1,3,2,6,0,1,2,5.323529411764706,2,2,1,5,34
137,3,0,5,0,6,0,0,0,1,8,0,0,0,0,0,9,4,0,0,1,1,3,1,1,0,3,3,0,2,0,4.8,2,0,1,5,25
138,13,0,27,0,15,10,0,0,4,27,21,0,9,0,0,22,18,0,0,1,10,11,6,1,2,5,8,0,1,3,5.294117647058823,2,18,2,9,119
139,2,0,9,0,9,4,1,0,2,11,2,0,1,0,0,5,6,0,0,0,2,3,0,1,1,0,6,0,0,2,4.888888888888889,0,3,2,3,36
140,8,0,30,0,16,9,0,2,2,35,7,0,7,0,0,7,2,0,0,1,14,12,1,6,3,1,12,1,0,2,6.067961165048544,0,7,2,12,103
141,8,0,20,0,17,7,0,0,5,29,5,0,0,0,0,19,9,0,0,1,8,13,5,5,2,7,6,0,1,1,5.546391752577319,1,9,3,5,97
142,5,0,27,0,14,4,1,0,1,29,1,0,2,0,0,4,9,0,0,0,4,4,0,3,1,2,8,0,0,1,5.548387096774194,0,0,3,7,62
143,3,0,10,0,13,2,0,0,2,18,1,0,1,0,0,19,10,0,0,0,2,5,8,3,1,2,2,1,0,0,5.576923076923077,1,1,3,5,52
144,5,0,18,0,18,4,0,0,4,26,7,0,1,0,0,14,6,0,0,0,8,9,4,2,0,0,10,0,0,1,5.797297297297297,0,7,2,8,74
145,6,1,12,0,13,9,0,0,2,22,5,0,3,0,0,12,3,0,0,0,6,6,4,3,2,2,4,0,0,1,5.84375,0,4,2,5,64
146,1,0,17,0,12,2,0,0,4,23,4,0,3,0,0,7,5,0,0,0,1,4,1,1,0,1,7,0,1,1,5.423728813559322,1,8,2,8,59
147,0,0,11,0,6,3,0,0,0,16,2,0,1,0,0,3,2,0,0,0,3,2,2,2,1,2,2,0,1,1,6.03030303030303,2,2,1,3,33
148,5,0,14,0,17,2,0,0,9,23,10,0,2,0,0,15,11,0,0,4,2,11,3,0,3,0,8,0,0,2,4.184466019417476,0,6,2,7,103
149,1,0,13,0,13,2,0,0,4,15,3,0,3,0,0,10,5,0,0,0,1,4,5,3,2,1,6,0,2,6,5.56,2,4,1,4,50
150,2,0,10,0,7,1,0,0,0,16,3,0,2,0,0,5,0,0,0,0,1,1,1,0,1,2,3,0,0,0,4.9411764705882355,0,4,1,6,34
151,6,2,23,0,24,7,1,0,5,33,4,0,2,0,0,18,7,0,0,0,8,13,2,5,1,3,12,0,0,6,5.2075471698113205,0,3,2,9,106
152,3,0,11,0,13,2,0,0,6,17,3,0,0,0,0,15,5,0,0,0,3,9,4,0,2,0,0,0,0,0,4.638297872340425,0,4,1,4,47
153,2,0,20,0,21,11,0,0,3,27,3,0,3,0,0,15,3,1,0,0,11,12,3,6,1,4,10,0,0,3,5.9875,1,5,3,8,80
154,3,0,17,0,9,2,1,0,4,17,0,0,1,0,0,9,3,1,0,0,3,7,2,1,0,1,9,0,0,2,5.574468085106383,1,0,2,7,47
155,3,0,13,0,7,1,0,0,1,21,2,0,2,0,0,10,4,0,0,0,4,2,4,2,2,1,5,1,0,3,5.680851063829787,1,2,2,5,47
156,5,0,18,0,18,11,1,0,3,27,10,0,5,0,0,22,9,2,0,0,12,11,0,4,1,3,17,0,0,1,6.082474226804123,0,12,3,11,97
157,0,0,4,0,3,1,0,0,1,4,0,0,0,0,0,2,2,0,0,0,2,2,1,0,0,1,0,0,0,0,5.416666666666667,0,0,0,2,12
158,2,1,18,0,11,5,0,0,3,21,0,0,6,0,0,3,4,0,0,0,4,8,1,0,0,0,4,0,0,1,6.283018867924528,0,0,2,7,53
159,2,0,15,0,13,3,1,0,1,16,8,0,5,0,0,6,4,0,0,0,5,5,3,5,1,0,3,0,1,2,5.454545454545454,2,4,2,6,55
160,1,0,6,0,4,4,0,0,0,10,0,0,3,0,0,8,0,0,0,0,5,4,1,0,0,1,4,0,0,1,5.5,0,2,1,5,28
161,2,0,9,0,7,1,1,0,2,15,0,0,0,0,0,6,0,0,0,0,4,4,0,2,1,1,2,1,1,0,5.033333333333333,1,1,1,4,30
162,1,0,3,0,4,0,0,0,0,4,1,0,0,0,0,3,2,0,0,0,2,2,0,1,0,0,4,0,0,0,5.615384615384615,0,2,1,2,13
163,3,0,10,1,10,5,0,0,0,17,0,0,1,0,0,10,5,0,0,1,6,6,3,3,1,1,8,0,0,4,5.395348837209302,2,4,2,4,43
164,12,1,22,0,28,8,0,0,3,36,9,0,7,0,0,19,19,0,0,0,12,15,4,8,4,4,14,0,2,4,5.857142857142857,2,5,3,13,126
165,1,0,7,0,5,0,0,0,2,6,1,0,1,0,0,3,4,0,0,0,2,5,0,0,0,0,3,0,0,1,5.608695652173913,1,1,1,4,23
166,6,0,20,0,21,4,1,0,2,31,4,0,2,0,0,14,7,1,0,0,4,4,4,9,2,3,11,1,0,3,5.756410256410256,0,11,2,4,78
167,1,0,9,0,4,0,0,0,1,10,0,0,2,0,0,8,5,0,0,0,2,3,0,2,0,0,10,2,2,3,4.878787878787879,3,0,0,5,33
168,2,0,14,0,7,0,0,0,3,21,0,0,1,0,0,9,4,0,0,1,6,7,1,1,0,3,2,0,0,2,5.7272727272727275,1,1,1,3,44
169,1,0,2,0,3,0,1,0,0,6,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,2,1,0,0,0,5.636363636363637,0,2,1,2,11
170,3,1,23,1,16,4,0,0,0,31,0,0,3,0,0,13,3,0,0,0,4,3,4,1,1,4,10,1,0,5,5.5285714285714285,2,18,1,5,70
171,5,0,17,0,22,9,2,0,1,18,1,0,9,0,0,14,10,0,0,0,3,3,3,3,5,4,11,1,0,5,6.391304347826087,1,1,2,5,69
