,CC,CD,DT,EX,IN,JJ,JJR,JJS,LS,MD,NN,NNP,NNPS,NNS,NONE,PDT,PRP,RB,RBR,RBS,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,sentenceNumber,wordNumber
87,1,0,21,1,23,16,0,1,0,4,24,12,0,12,0,0,3,5,0,0,0,6,11,8,4,2,0,0,0,0,1,5.956521739130435,0,4,12,92
88,2,0,19,1,14,14,0,0,0,2,19,16,0,13,0,0,1,6,0,0,0,9,11,7,8,5,0,3,1,0,0,6.423913043478261,1,0,10,92
89,2,0,18,0,20,14,1,2,0,5,25,7,0,8,0,0,8,7,0,0,1,9,13,13,8,1,0,0,0,0,1,5.388349514563107,0,7,10,103
90,4,1,26,0,22,11,0,2,0,5,32,17,1,10,0,0,3,9,0,0,0,9,9,14,2,6,1,1,3,0,2,6.735849056603773,0,6,15,106
91,4,1,28,0,22,9,1,0,0,4,31,14,0,13,0,0,1,5,1,0,1,9,10,12,4,5,1,1,0,0,0,6.611111111111111,0,2,16,108
92,4,0,20,1,18,13,0,1,0,2,22,16,1,10,0,0,3,9,0,0,0,6,6,7,2,2,2,4,0,0,2,6.212765957446808,1,9,6,94
93,3,0,32,0,29,24,0,1,0,4,40,11,0,14,0,0,7,8,1,0,1,9,10,13,1,9,3,4,1,0,1,6.069230769230769,1,4,10,130
94,4,1,14,0,11,12,1,0,0,1,18,4,0,14,0,0,1,2,0,1,0,2,2,8,6,9,2,0,5,0,1,7.071428571428571,2,4,6,70
95,2,1,4,0,4,3,0,0,0,1,5,0,0,3,0,0,2,2,0,0,1,1,2,4,1,2,0,0,0,0,0,5.380952380952381,0,0,3,21
96,4,2,28,1,31,14,0,1,0,3,20,18,0,18,0,0,13,14,0,0,3,7,9,17,7,7,1,1,0,1,2,6.162393162393163,2,3,12,117
97,5,4,19,1,27,7,0,3,0,8,27,15,0,12,0,0,5,10,0,0,2,4,10,6,0,5,4,3,0,0,0,5.6947368421052635,0,1,9,95
98,2,1,29,0,29,12,1,0,0,5,25,16,0,15,0,0,2,12,1,0,0,5,7,10,2,6,0,2,3,0,0,6.333333333333333,1,0,11,105
99,2,0,27,1,21,18,0,0,0,6,35,5,0,8,0,0,5,14,0,0,2,6,8,7,2,3,0,3,0,1,0,6.097087378640777,0,0,13,103
100,5,0,35,1,38,19,0,1,0,8,44,15,0,21,0,0,2,7,2,0,0,11,15,9,5,9,1,4,2,0,2,6.4,1,5,16,145
101,2,2,25,0,10,6,0,1,0,3,32,15,0,11,0,0,2,4,0,0,0,8,9,8,5,6,3,1,0,0,0,6.96039603960396,0,8,16,101
102,3,0,9,2,9,5,1,0,0,2,11,11,0,8,0,0,1,2,0,0,0,3,5,7,0,1,0,1,0,0,0,6.283018867924528,0,0,8,53
103,1,1,11,0,16,8,0,0,0,1,14,15,0,8,0,0,3,7,0,0,0,4,4,6,3,1,0,0,0,0,0,6.074626865671642,0,8,13,67
104,5,0,19,0,18,3,0,0,0,0,17,8,0,10,0,0,5,4,0,0,0,7,7,8,2,3,0,1,2,0,0,6.059701492537314,1,2,7,67
105,2,1,25,0,25,9,0,0,0,2,35,13,0,15,0,0,7,4,0,0,0,5,5,5,9,4,2,12,1,1,4,6.043478260869565,3,5,10,115
106,1,0,10,0,7,2,0,1,0,2,10,2,0,0,0,0,2,0,0,0,0,0,3,2,0,0,0,1,0,0,0,5.434782608695652,0,1,4,23
107,1,2,18,0,16,12,0,0,0,4,18,12,0,8,0,0,3,5,0,0,0,7,9,8,3,1,0,1,1,0,1,5.794520547945205,0,0,8,73
108,4,4,29,0,25,10,0,0,0,2,37,15,0,7,0,0,5,6,0,0,0,8,9,7,4,8,2,0,2,0,1,6.619047619047619,1,1,8,105
109,2,1,25,0,13,10,0,0,0,1,27,7,0,13,0,0,4,8,0,0,3,10,7,6,3,5,1,0,0,0,0,5.934782608695652,0,10,13,92
110,11,0,25,0,28,11,0,0,0,6,22,29,1,14,0,0,1,8,0,0,0,6,12,5,4,4,0,0,1,0,1,6.490196078431373,2,7,10,102
111,2,0,21,1,17,1,1,0,0,6,28,12,0,9,0,0,8,2,0,0,0,7,10,10,2,2,3,2,1,1,0,6.08,1,6,9,75
112,3,1,27,1,17,8,0,0,0,5,20,17,0,10,0,0,3,12,0,0,1,8,11,10,2,4,1,1,1,0,0,6.380952380952381,1,5,9,84
113,2,1,10,0,20,8,0,0,0,1,13,8,0,10,0,0,3,7,0,0,3,2,3,7,5,4,0,1,2,0,1,6.583333333333333,0,1,7,60
114,1,0,14,0,11,7,1,1,0,0,16,13,0,9,0,0,2,6,0,0,1,2,1,11,3,2,0,0,0,0,3,6.2272727272727275,0,2,10,66
115,2,1,25,0,25,17,0,1,0,7,31,13,1,15,0,0,2,13,0,0,2,12,12,7,6,6,0,1,1,0,0,6.3097345132743365,1,0,11,113
116,2,1,12,0,8,7,0,0,0,2,11,7,0,7,0,0,1,6,0,0,2,6,7,4,2,1,1,0,0,0,0,5.846153846153846,0,2,6,52
117,3,1,25,0,17,13,1,1,0,2,26,9,0,13,0,0,13,11,1,0,1,9,7,17,3,1,4,0,0,0,1,6.0,1,6,10,105
118,4,1,19,3,15,11,0,1,0,6,25,3,0,14,0,0,3,7,0,0,1,7,10,6,5,2,2,2,0,0,2,6.090909090909091,2,4,10,88
119,7,1,35,0,32,17,0,0,0,7,36,14,0,21,0,0,11,16,0,0,1,10,15,6,7,4,7,4,1,0,1,5.794326241134752,1,6,14,141
120,1,0,19,1,26,9,0,0,0,3,21,11,0,11,0,0,2,3,0,0,0,7,6,7,4,2,1,0,1,0,1,6.273972602739726,0,2,7,73
121,1,3,25,1,28,17,1,1,0,0,26,25,1,11,0,0,7,8,0,0,0,7,6,16,5,6,2,2,0,3,1,5.991666666666666,3,8,18,120
122,3,0,28,0,24,12,0,0,0,4,26,13,0,20,0,0,4,5,0,0,2,6,10,11,4,9,2,1,1,0,2,6.345794392523365,1,5,13,107
123,0,1,9,1,6,2,0,0,0,0,12,6,1,2,0,0,2,2,0,0,2,1,2,4,1,0,0,0,0,0,2,4.870967741935484,1,6,4,31
124,4,2,9,0,13,7,0,0,0,2,10,7,0,8,0,0,8,4,0,0,1,5,6,12,3,1,0,0,1,1,0,5.762711864406779,2,3,7,59
125,1,1,13,1,12,4,0,0,0,1,16,3,0,8,0,0,5,6,0,0,0,6,5,8,1,2,0,0,0,0,1,5.36,1,7,7,50
126,3,0,25,0,21,12,0,0,0,1,24,9,0,10,0,0,2,7,0,0,2,6,6,11,4,2,2,0,2,0,0,5.8875,0,2,9,80
127,1,0,24,0,21,11,0,0,0,2,22,10,0,15,0,0,4,6,0,0,0,6,8,9,2,4,4,2,2,0,1,6.625,3,1,10,88
128,1,1,30,0,28,17,0,0,0,3,27,28,0,17,0,0,5,1,0,0,0,10,11,13,8,5,0,0,0,0,0,6.544776119402985,0,4,11,134
129,1,1,23,0,22,12,0,0,0,6,23,9,0,16,0,0,5,8,0,0,0,12,15,9,4,3,1,2,2,0,0,6.393939393939394,1,2,11,99
130,2,1,13,1,12,10,0,1,0,0,23,7,1,6,0,0,8,10,0,0,0,5,4,7,3,2,1,7,2,0,1,6.216216216216216,0,2,8,74
131,5,0,30,0,19,13,0,0,0,8,30,13,0,15,0,0,6,9,0,0,2,5,11,7,4,2,1,2,2,0,1,5.9714285714285715,2,2,11,105
132,2,0,28,0,22,15,0,1,0,5,33,16,0,6,0,0,3,8,0,0,0,7,10,9,3,8,0,2,1,0,0,6.0285714285714285,0,0,11,105
133,1,1,20,0,19,11,0,1,0,5,17,7,1,6,0,0,11,8,0,0,1,6,9,7,2,3,6,1,2,0,0,6.1375,0,2,9,80
134,3,0,21,1,20,7,0,0,0,2,21,9,0,11,0,0,3,6,0,0,0,3,4,7,10,4,3,2,0,0,0,6.573170731707317,0,0,12,82
135,1,0,26,0,18,8,1,0,0,8,25,27,0,12,0,0,3,9,0,0,1,4,10,5,0,7,0,1,1,0,3,6.46,0,11,19,100
136,2,2,21,0,19,12,2,1,0,1,18,12,1,11,0,0,2,9,0,0,0,4,2,10,3,0,1,1,2,0,0,6.324675324675325,1,2,9,77
137,0,0,15,0,13,10,0,2,0,3,19,8,0,9,0,0,4,8,0,0,0,8,8,10,3,5,1,2,1,0,0,6.136986301369863,1,9,8,73
138,3,0,13,2,14,9,0,0,0,2,17,10,1,6,0,0,3,7,0,0,1,5,6,3,3,1,0,4,0,0,1,6.287878787878788,0,4,8,66
139,4,2,24,1,21,11,0,2,0,1,33,9,1,10,0,0,3,4,0,0,1,6,3,10,3,4,0,5,0,0,2,5.936842105263158,0,8,8,95
140,2,1,22,0,16,9,1,1,0,2,25,3,0,10,0,0,6,10,0,0,3,6,8,9,6,4,2,2,0,0,1,6.0344827586206895,0,2,10,87
141,7,0,29,0,18,8,0,0,0,5,31,15,0,8,0,0,4,9,0,0,1,7,11,12,4,5,1,1,1,0,2,6.319587628865979,0,4,12,97
142,7,0,38,0,29,10,0,0,0,5,31,8,0,13,0,0,5,8,0,0,0,11,14,2,6,3,3,8,0,0,0,6.621359223300971,0,0,12,103
143,4,3,21,0,16,4,0,0,0,4,23,0,0,8,0,0,5,5,0,0,0,5,7,7,3,5,1,0,0,0,1,6.101694915254237,1,2,7,59
144,3,0,15,0,13,6,0,1,0,1,17,8,0,7,0,0,2,4,0,0,0,7,5,6,3,2,0,0,0,0,0,5.964285714285714,0,3,5,56
145,1,2,28,0,28,19,1,2,0,4,23,28,1,15,0,0,4,10,0,1,1,10,12,10,4,4,1,4,2,0,1,6.310077519379845,2,8,17,129
146,4,1,28,0,29,10,2,2,0,5,34,14,0,8,0,0,9,6,0,0,0,10,15,14,1,10,2,3,4,0,0,6.25,3,3,9,108
147,0,0,5,0,4,9,0,0,0,0,9,5,0,3,0,0,1,4,0,0,1,1,1,2,0,1,0,1,1,0,0,5.5,1,5,4,32
148,1,0,15,0,13,10,0,1,0,0,11,4,1,13,0,0,0,13,0,1,0,4,3,5,4,3,1,1,0,0,0,6.190476190476191,0,0,4,63
149,5,0,27,1,26,21,0,0,0,4,24,19,0,13,0,0,3,5,0,0,1,5,9,12,2,5,0,0,1,0,1,6.336363636363636,1,6,16,110
150,4,1,19,1,18,9,0,1,0,2,24,12,0,12,0,0,3,6,0,0,1,7,8,9,2,2,2,1,0,0,0,6.0,0,5,8,84
151,4,1,20,1,22,9,0,1,0,3,16,10,1,21,0,0,9,14,0,0,0,7,11,6,4,4,3,6,0,0,1,6.12,0,4,11,100
152,3,1,34,1,27,10,1,3,0,4,37,9,0,13,0,0,4,9,0,0,0,7,6,11,1,11,3,0,0,0,1,6.221238938053097,0,2,12,113
153,3,0,24,0,23,9,1,1,0,3,25,11,0,12,0,0,3,6,0,0,0,9,10,11,3,6,1,1,1,0,0,6.758241758241758,0,4,8,91
154,0,0,10,1,6,6,0,2,0,1,7,4,0,6,0,0,0,5,0,0,0,7,5,5,3,2,2,1,2,0,0,6.325581395348837,2,0,6,43
155,4,1,33,1,35,17,2,1,0,3,38,35,1,21,0,0,6,9,1,1,2,11,9,13,6,8,1,3,1,0,3,6.493589743589744,0,15,16,156
156,5,3,31,1,13,12,0,1,0,3,28,7,0,10,0,0,1,6,0,0,0,12,11,11,4,7,0,1,3,0,0,6.446808510638298,0,1,9,94
157,5,0,37,0,23,11,0,0,0,1,28,14,0,18,0,0,5,6,0,1,0,14,13,10,3,6,1,1,2,0,1,6.504587155963303,1,2,15,109
158,2,1,19,0,16,10,0,0,0,3,22,7,0,14,0,0,0,5,0,0,0,8,10,12,1,4,0,0,0,0,1,6.901234567901234,0,0,10,81
159,3,2,37,0,27,11,1,1,0,12,27,13,0,19,0,0,4,12,0,1,0,7,17,14,2,11,1,0,6,0,1,6.256410256410256,3,6,14,117
160,0,2,20,0,17,8,0,0,0,0,19,13,0,9,0,0,1,3,0,0,0,3,3,8,2,2,2,0,0,0,0,6.454545454545454,0,4,7,66
161,2,1,22,0,16,11,0,0,0,2,22,5,0,12,0,0,5,2,0,0,2,12,9,7,2,2,1,0,0,0,0,5.662337662337662,0,0,9,77
162,3,1,12,0,19,9,0,0,0,2,14,8,0,9,0,0,2,3,0,0,1,2,4,7,4,4,2,2,1,0,1,6.716666666666667,2,5,7,60
163,2,0,24,0,19,20,0,0,0,4,23,3,0,13,0,0,6,9,0,0,0,13,11,13,5,6,2,1,1,0,1,6.528846153846154,0,0,8,104
164,1,0,5,0,6,2,1,0,0,1,5,3,0,10,0,0,1,2,0,0,0,4,5,4,1,2,0,0,0,0,0,7.645161290322581,0,0,5,31
165,1,2,11,1,10,5,0,0,0,1,12,6,0,7,0,0,3,5,0,0,1,3,4,5,3,2,0,1,1,0,1,6.22,0,3,6,50
166,4,0,30,1,13,15,0,0,0,7,31,9,0,10,0,0,1,9,0,0,2,9,14,8,3,2,1,0,1,0,0,6.15,0,3,15,100
167,2,0,15,2,10,9,0,2,0,2,13,9,1,12,0,0,0,12,0,0,0,8,6,13,0,5,0,1,3,0,1,6.507042253521127,2,1,8,71
168,1,0,9,0,4,5,0,0,0,1,6,3,0,7,0,0,1,5,0,0,0,4,4,2,2,0,1,0,0,0,0,5.966666666666667,0,3,2,30
169,3,1,15,0,12,11,0,0,0,7,13,11,0,7,0,0,4,11,0,0,0,7,12,4,4,4,2,0,1,0,1,6.449275362318841,0,3,7,69
170,3,2,9,0,8,5,0,0,0,1,11,13,0,4,0,0,0,3,0,2,0,0,1,3,0,1,1,3,0,0,0,4.796610169491525,0,2,8,59
171,1,0,10,1,8,4,0,0,0,2,10,0,0,10,0,0,1,5,0,0,0,0,1,5,3,3,1,0,0,0,0,5.682926829268292,0,2,6,41
