,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,NONE,PDT,PRP,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,score,sentenceNumber,wordNumber
50,2,1,13,0,10,8,0,0,1,13,4,0,2,0,0,19,3,0,0,2,13,0,18,0,2,1,13,1,0,0,4,4.56140350877193,0,13,8,9,57
51,12,0,5,0,6,6,0,0,0,14,4,0,6,0,0,25,12,0,0,1,3,0,3,12,4,1,4,4,0,1,2,5.370967741935484,2,5,15,8,62
52,3,1,4,0,4,2,0,0,0,7,5,0,2,0,0,13,7,0,0,0,2,0,2,9,0,2,0,1,0,0,0,4.694444444444445,0,5,20,6,36
53,5,1,8,0,16,5,0,0,3,20,11,0,4,0,0,38,17,0,0,2,3,0,4,20,3,2,4,0,0,0,0,4.415094339622642,0,10,17,16,106
54,6,0,5,0,4,2,0,0,1,15,10,0,4,0,0,14,4,0,0,0,2,0,3,12,1,2,5,0,0,0,0,4.076923076923077,0,11,18,7,65
55,1,0,3,0,5,4,0,0,0,5,0,0,1,0,0,9,1,0,0,0,1,0,1,5,5,0,1,1,0,0,1,4.37037037037037,0,2,13,5,27
56,14,5,19,1,26,6,0,0,2,70,43,0,19,0,0,19,8,0,0,2,19,0,19,21,0,3,4,1,2,0,3,4.946859903381642,0,49,12,13,207
57,10,0,10,0,8,13,0,0,0,30,13,0,8,3,1,25,5,0,0,3,6,0,5,20,5,1,3,1,0,1,2,4.435185185185185,1,10,20,11,108
58,8,8,9,2,29,5,1,0,7,15,6,0,11,0,0,30,18,0,0,2,3,0,12,19,4,0,3,0,0,0,2,4.778846153846154,0,6,16,14,104
59,20,4,34,2,57,18,1,2,11,92,51,0,17,0,0,92,33,1,0,2,16,0,29,40,15,13,21,13,3,1,4,5.509536784741145,3,48,24,59,367
60,9,1,11,1,16,8,0,0,2,19,5,0,5,1,0,29,8,0,0,2,4,0,5,17,4,3,6,0,0,0,1,4.566265060240964,0,8,16,7,83
61,3,0,5,0,8,2,0,0,1,15,5,0,2,0,0,13,9,0,0,2,5,0,7,5,1,0,5,1,0,0,1,3.912280701754386,0,4,10,15,57
62,6,3,19,1,20,12,0,1,0,34,2,0,6,0,1,38,15,0,0,1,16,0,12,26,4,6,5,1,1,2,5,4.294964028776978,2,6,17,15,139
63,2,0,8,0,6,6,0,0,1,8,6,0,2,0,0,14,5,0,0,0,4,0,4,10,1,0,2,1,0,0,3,4.076923076923077,1,9,12,6,39
64,5,1,10,0,15,2,0,0,0,22,5,0,2,0,0,13,7,0,0,3,4,0,4,12,0,2,1,0,0,0,4,5.216666666666667,0,8,17,4,60
65,7,0,2,0,4,5,0,0,0,7,1,0,1,0,0,15,3,0,0,0,11,0,10,6,0,1,4,0,0,0,0,3.7,0,3,8,2,40
66,6,0,7,0,10,6,0,0,0,20,45,0,2,0,0,17,4,0,0,1,6,0,4,16,4,2,9,2,0,1,0,5.4375,1,39,22,22,112
67,5,1,18,1,28,8,0,1,3,25,2,0,4,0,0,29,11,0,0,4,2,0,4,20,8,6,5,3,0,0,2,4.87378640776699,0,5,24,13,103
68,8,0,13,0,21,3,0,0,2,23,3,0,3,0,0,47,14,0,0,2,6,0,13,25,8,3,4,0,0,0,2,5.0625,1,2,21,13,96
69,16,5,18,0,14,12,0,0,0,50,6,0,9,0,0,29,16,0,0,1,8,0,7,25,4,2,4,2,0,0,1,4.4475524475524475,0,10,19,19,143
70,4,2,13,0,14,7,0,0,2,33,13,0,4,0,0,23,15,0,0,1,9,0,5,17,3,2,6,2,1,1,2,4.819047619047619,1,22,19,20,105
71,6,0,7,0,11,6,0,0,5,16,24,0,1,0,0,29,12,0,0,0,7,0,13,10,1,1,11,7,0,2,1,4.991379310344827,2,28,12,19,116
72,9,1,7,0,9,4,0,0,0,17,4,0,1,0,0,15,11,0,0,2,5,1,6,16,3,0,1,0,0,0,0,4.344827586206897,0,8,16,7,58
73,5,1,5,0,9,7,0,0,2,13,2,0,5,0,0,18,10,0,0,0,6,0,9,4,1,2,6,2,0,2,3,5.305084745762712,2,1,12,2,59
74,10,0,8,0,10,0,0,0,0,28,1,0,3,0,0,22,7,0,0,0,4,0,3,13,3,1,2,1,0,0,1,4.724137931034483,0,3,15,6,58
75,2,1,3,0,13,4,0,0,0,16,5,0,6,0,0,7,5,0,0,0,8,0,9,7,0,0,0,0,0,0,1,4.5,0,8,9,5,50
76,7,2,13,0,12,7,0,0,1,14,0,0,2,0,1,15,3,0,0,0,5,0,3,9,1,2,5,1,1,0,1,4.081081081081081,0,2,8,3,37
77,7,0,7,0,19,3,0,0,1,27,4,0,1,0,0,19,7,0,0,1,4,0,4,11,4,1,8,4,0,0,1,4.794520547945205,1,6,14,8,73
78,13,0,19,0,21,9,1,0,1,34,5,0,4,0,0,56,10,0,0,3,10,0,10,38,3,3,4,1,1,1,9,4.295774647887324,1,3,23,18,142
79,2,1,4,0,5,2,0,0,0,10,12,0,1,0,0,7,4,0,0,0,0,0,1,8,3,1,0,0,1,0,1,5.102564102564102,0,10,14,7,39
80,16,3,10,1,19,10,0,2,0,24,4,0,7,0,0,30,27,0,0,0,11,0,14,16,9,2,4,3,0,0,1,4.4,0,30,10,7,110
81,7,4,9,1,11,5,0,1,0,21,3,0,3,0,0,20,3,0,0,4,4,0,4,17,4,2,2,0,0,0,3,5.0,0,5,17,12,69
82,5,4,15,0,16,9,0,0,5,36,1,0,10,0,0,39,14,0,0,1,6,0,10,13,3,1,6,6,2,0,1,4.901639344262295,2,9,21,18,122
83,5,2,15,1,27,11,1,1,1,47,42,1,8,0,0,28,20,0,0,2,10,0,6,30,6,15,6,3,1,2,4,5.328502415458937,2,46,24,30,207
84,8,2,28,2,31,14,2,3,1,32,9,0,20,0,0,34,20,0,0,0,12,0,13,25,10,5,7,6,1,3,3,5.2064516129032254,3,12,21,20,155
85,12,0,14,0,14,4,1,0,0,34,2,0,4,0,0,10,5,0,1,0,3,0,3,7,0,0,2,2,0,1,0,4.173333333333333,1,23,6,9,75
86,12,2,13,2,19,5,1,0,0,28,3,0,6,0,0,30,7,0,0,1,8,1,6,22,1,0,2,0,0,1,2,4.5875,1,6,12,5,80
87,8,0,14,0,16,6,0,0,2,37,6,0,1,0,1,51,16,0,0,0,10,0,13,25,3,1,4,4,1,1,4,4.417391304347826,2,3,21,14,115
88,9,1,13,1,17,10,0,0,0,25,6,0,6,0,0,17,17,0,0,4,7,0,7,18,12,4,5,3,1,0,1,5.114035087719298,1,12,24,18,114
89,12,4,19,0,31,4,1,1,4,45,16,0,9,0,0,58,15,1,0,5,13,0,15,33,4,8,9,2,2,0,3,5.011428571428572,0,20,24,25,175
90,3,1,8,0,13,5,1,2,0,12,7,0,2,0,0,14,6,0,0,0,2,0,2,12,0,1,3,0,0,0,1,4.566666666666666,0,5,15,9,60
91,7,2,7,0,10,6,0,1,1,15,1,0,9,0,0,21,5,0,0,1,3,0,3,14,3,1,8,0,1,0,5,4.028985507246377,3,6,14,6,69
92,3,0,1,0,3,0,0,1,0,4,2,0,2,0,0,9,1,0,0,0,8,0,6,0,2,0,5,1,0,0,0,4.56,0,5,9,5,25
93,4,1,6,0,4,7,0,3,0,8,2,0,1,0,0,10,2,0,0,0,2,0,1,10,3,0,0,0,0,0,1,4.648648648648648,0,4,9,6,37
94,20,0,20,1,36,9,2,0,13,53,3,0,8,0,0,43,22,0,0,0,7,0,21,18,2,4,19,5,1,1,4,5.219858156028369,2,13,9,18,141
95,11,1,18,0,33,10,1,1,1,40,8,0,11,0,0,37,8,0,0,3,11,0,13,25,6,4,1,2,0,0,2,5.1466666666666665,0,7,22,25,150
96,5,0,8,0,7,3,0,0,0,21,5,0,0,0,0,10,3,0,1,1,0,0,2,1,2,0,8,3,0,0,0,3.890909090909091,0,10,8,8,55
97,6,3,6,1,10,3,1,0,1,15,3,0,10,0,0,19,16,0,0,2,5,0,3,15,2,6,5,1,0,0,4,4.342105263157895,0,6,15,7,76
98,4,1,17,0,13,5,0,0,1,23,8,0,7,0,0,9,2,0,0,0,1,0,2,10,1,3,3,1,1,0,4,5.552631578947368,2,8,20,6,76
99,10,1,17,0,11,13,0,0,1,32,5,0,2,0,0,22,8,1,0,1,7,0,8,17,1,3,2,2,0,2,1,3.8045977011494254,2,13,10,5,87
100,9,1,8,0,22,5,1,0,1,13,6,0,3,0,0,21,16,1,0,0,7,0,10,19,4,2,1,0,0,0,0,4.494623655913978,0,15,18,12,93
101,7,3,6,0,18,10,0,0,0,13,12,0,5,0,0,14,7,0,0,4,5,0,4,4,3,7,6,0,0,1,0,5.333333333333333,1,11,18,6,72
102,3,1,5,0,7,5,0,0,0,11,4,0,0,0,0,11,6,0,0,1,3,0,4,9,3,0,2,0,0,0,1,4.690476190476191,0,4,14,7,42
103,13,2,28,0,34,12,0,0,1,52,45,0,12,0,0,39,21,0,0,4,6,0,8,31,4,3,8,2,0,1,0,4.829383886255924,1,42,23,40,211
104,6,0,11,0,9,3,0,0,1,21,0,0,1,0,0,6,3,0,0,0,9,0,10,4,3,1,3,2,0,0,0,4.395833333333333,0,8,6,3,48
105,2,0,6,0,6,3,0,0,1,9,4,0,1,0,0,8,3,0,0,0,5,0,4,8,1,0,1,1,0,0,1,4.419354838709677,0,3,11,6,31
106,5,1,4,0,3,3,0,0,0,13,6,0,1,0,0,11,0,0,0,0,2,0,2,9,2,0,1,1,0,0,1,4.048780487804878,0,6,9,3,41
107,6,2,18,2,16,11,0,0,0,26,10,0,4,0,1,28,15,0,0,4,7,0,2,27,7,9,3,2,1,0,2,4.790909090909091,0,5,21,14,110
108,5,0,16,0,11,9,0,0,0,20,4,0,7,0,0,24,9,0,0,2,5,0,1,20,5,4,2,2,1,0,4,4.2,0,8,16,10,90
109,2,2,13,0,16,2,0,1,9,24,12,0,5,0,0,25,6,0,0,2,6,0,15,2,3,5,5,2,0,2,1,4.571428571428571,1,8,11,15,91
110,4,3,12,0,16,5,0,0,0,28,15,0,4,0,0,10,4,0,0,0,5,0,4,11,12,4,3,1,1,0,3,5.636363636363637,0,16,20,6,88
111,2,0,5,0,12,3,0,0,1,17,2,1,2,0,0,8,1,0,0,0,5,0,8,0,4,2,2,3,0,1,1,5.390243902439025,1,4,8,5,41
112,4,2,7,0,6,3,0,1,1,18,2,0,1,0,0,9,12,0,0,0,1,0,2,0,0,1,5,2,4,0,3,5.621621621621622,0,1,7,5,37
113,14,2,12,1,17,5,0,0,0,24,11,0,7,0,0,23,8,0,0,2,6,0,3,20,4,1,3,1,1,0,1,4.886363636363637,0,19,17,10,88
114,5,3,12,0,20,7,0,0,4,24,4,0,4,0,0,17,8,1,1,0,1,0,5,0,9,1,11,7,3,1,2,5.8875,3,6,14,10,80
115,42,6,30,3,28,19,0,1,2,63,42,0,13,0,1,62,22,1,0,1,16,0,21,60,10,4,11,5,1,0,1,4.99163179916318,0,60,22,14,239
116,3,2,14,1,9,7,0,0,0,29,25,0,3,0,0,14,7,0,0,0,8,0,8,14,0,4,3,2,0,0,1,5.684210526315789,0,22,21,22,95
117,12,2,10,2,17,4,0,0,0,39,1,0,5,0,0,29,2,0,0,0,5,0,8,12,3,3,8,2,0,0,3,4.9397590361445785,0,3,12,12,83
118,7,5,8,0,19,10,1,0,1,21,14,0,5,0,0,31,11,0,0,1,7,0,8,23,3,5,5,0,0,1,2,4.571428571428571,1,10,18,14,112
119,9,4,22,0,16,8,2,3,6,34,43,0,3,0,0,36,21,1,0,1,11,0,14,15,2,4,14,7,0,5,4,5.340782122905028,5,55,12,18,179
120,6,1,7,1,13,5,0,0,0,21,17,0,4,0,0,17,5,0,0,2,5,0,5,21,3,3,1,1,0,1,0,5.365853658536586,1,20,19,15,82
121,7,1,4,0,11,7,0,0,1,12,11,0,2,0,0,17,8,0,0,1,5,0,3,12,4,2,8,2,0,0,3,4.625,0,14,16,8,72
122,3,0,8,1,7,1,0,0,0,14,1,0,5,0,0,3,5,0,0,0,0,0,0,0,3,0,0,3,0,0,2,6.266666666666667,0,3,11,6,30
123,10,2,17,0,27,14,0,1,4,36,30,0,8,0,0,17,17,0,0,2,9,0,11,22,8,4,7,1,1,0,0,5.6467065868263475,0,37,18,27,167
124,10,0,15,2,11,5,0,0,0,21,8,0,8,0,0,20,9,1,0,0,4,0,3,17,1,3,2,1,0,1,0,4.584415584415584,1,8,15,8,77
125,5,0,17,0,9,9,0,0,2,24,15,0,9,0,0,30,11,0,0,3,13,0,14,11,2,2,10,14,2,0,1,4.902439024390244,0,9,17,23,123
126,3,4,20,1,26,13,2,1,2,42,18,0,6,0,0,22,11,1,1,0,2,0,2,22,6,2,1,1,1,0,1,4.7913669064748206,0,14,16,20,139
127,7,0,6,0,11,5,0,0,1,27,6,0,2,0,0,13,7,1,0,0,6,0,6,0,6,2,5,2,0,0,2,6.2063492063492065,0,4,9,9,63
128,4,1,3,0,8,3,0,0,1,8,1,0,5,0,0,16,1,0,0,0,5,0,4,5,1,0,3,1,0,1,2,4.684210526315789,1,1,16,4,38
129,3,1,3,1,5,2,0,0,3,14,1,0,1,0,0,16,3,0,0,0,3,0,5,7,3,0,3,0,0,0,2,4.019230769230769,0,5,9,11,52
130,10,1,8,1,14,4,0,0,1,17,4,0,1,0,0,19,12,1,0,0,6,0,10,12,3,1,3,5,0,1,1,4.432835820895522,2,7,17,3,67
131,5,0,26,0,22,7,1,1,1,34,18,0,3,0,0,17,9,0,0,5,1,0,3,25,8,3,3,2,0,0,2,5.285714285714286,0,18,24,17,112
132,4,0,9,0,12,13,0,0,2,27,8,0,8,0,0,11,8,1,0,0,9,0,10,2,3,1,7,6,2,1,1,5.195402298850575,1,6,11,13,87
133,3,3,7,0,5,4,0,0,0,13,5,0,6,0,0,11,4,3,0,0,3,0,3,8,0,6,1,1,0,0,5,4.711538461538462,3,5,9,8,52
134,9,2,10,1,12,6,0,0,1,20,3,0,2,0,0,24,13,0,0,1,5,0,5,15,10,1,3,1,1,0,0,4.621951219512195,0,2,18,12,82
135,2,1,7,0,14,7,0,0,2,21,6,1,5,0,0,25,6,2,0,0,7,0,9,16,5,1,8,3,0,1,2,4.917525773195877,1,7,18,18,97
136,3,0,11,0,11,4,0,0,1,22,6,0,2,0,0,18,9,0,0,0,4,0,6,9,0,2,0,1,0,0,0,4.946428571428571,0,9,14,7,56
137,7,1,15,0,28,11,0,1,4,36,7,0,12,0,0,59,15,1,0,1,7,0,7,32,2,4,4,2,2,2,1,4.753521126760563,3,10,17,23,142
138,16,3,9,1,14,5,1,0,2,24,4,0,1,0,0,43,15,0,0,2,8,0,10,31,4,7,5,2,0,2,4,4.298245614035087,4,6,18,12,114
139,7,0,7,0,6,4,1,0,3,10,4,0,3,0,0,18,11,1,0,0,3,0,6,13,0,3,3,1,0,1,4,4.765625,1,11,15,8,64
140,5,1,7,0,6,2,0,0,0,12,1,1,4,0,0,13,4,0,0,1,4,0,1,2,1,0,8,3,0,0,0,4.444444444444445,0,3,13,7,45
141,4,2,16,0,16,8,0,0,5,43,4,0,6,0,0,28,6,0,0,0,10,0,14,0,4,1,20,8,3,0,5,4.992063492063492,2,7,11,24,126
142,17,3,20,0,27,14,1,0,4,37,12,0,11,0,0,71,22,0,0,4,8,0,11,37,5,9,12,2,0,1,2,4.627551020408164,1,8,24,31,196
143,3,1,1,0,2,2,0,0,0,4,0,0,0,0,0,3,2,0,0,0,1,0,0,0,3,1,3,1,0,0,2,5.4,0,1,7,3,10
144,8,2,13,2,14,5,0,0,2,24,8,0,7,0,0,23,8,1,0,3,1,0,2,20,2,3,4,1,0,0,2,4.741573033707865,1,7,17,8,89
145,9,1,7,0,10,3,0,0,0,10,3,0,2,0,0,15,2,0,0,0,5,0,6,3,1,1,5,2,0,0,1,3.630434782608696,0,5,11,3,46
146,4,2,21,0,23,8,0,2,4,24,6,0,4,0,0,37,8,0,0,1,5,0,7,27,5,4,3,2,0,0,1,4.835051546391752,0,12,16,9,97
147,5,0,18,1,16,6,1,0,0,19,11,0,5,0,0,16,6,1,0,0,13,0,10,14,5,4,5,2,2,0,3,4.858823529411764,1,6,17,13,85
148,12,4,35,0,27,10,0,0,1,39,23,0,11,0,0,34,14,0,0,5,11,0,10,34,7,8,5,1,0,1,3,5.213872832369942,1,16,22,25,173
149,4,2,3,0,6,3,1,0,1,11,0,0,1,0,0,12,5,0,0,0,3,0,5,4,0,3,2,1,0,0,0,3.5,0,7,12,6,38
150,13,0,10,0,10,12,0,0,2,20,7,0,4,0,0,44,18,0,0,1,5,0,7,37,5,5,5,1,0,1,2,3.8153846153846156,1,6,12,11,130
151,9,1,19,0,11,7,0,0,0,19,5,0,7,0,0,34,9,0,0,4,4,0,4,20,7,5,9,3,0,0,2,4.12037037037037,0,8,16,20,108
152,8,4,22,0,17,12,1,0,0,39,31,0,7,0,0,29,6,0,0,6,9,0,3,17,6,3,7,6,0,1,1,4.759740259740259,0,28,20,18,154
153,7,1,15,0,14,11,0,1,3,31,11,0,5,0,0,33,17,0,0,3,8,0,10,28,3,4,2,0,0,0,1,4.5,0,8,16,19,126
154,8,0,11,0,14,5,0,0,2,14,4,0,4,0,0,20,8,0,0,4,5,0,6,17,4,4,1,1,1,0,1,4.4393939393939394,0,1,15,9,66
155,6,1,6,1,11,2,0,0,2,16,3,0,4,0,0,8,4,0,0,0,2,0,7,0,1,4,4,1,1,1,2,5.2439024390243905,1,6,8,3,41
156,12,3,10,0,12,5,0,2,0,34,53,0,5,0,0,11,7,0,0,0,7,0,5,15,2,3,4,3,1,0,2,5.622516556291391,0,59,17,13,151
157,18,1,14,0,24,4,1,0,1,23,7,0,4,0,0,24,3,0,0,0,5,0,7,18,3,1,3,0,0,0,0,4.443037974683544,0,16,13,7,79
158,8,4,7,0,12,7,0,0,1,16,13,0,9,0,0,14,9,0,0,1,6,0,10,18,1,4,2,1,0,0,1,5.118279569892473,0,8,20,16,93
159,12,4,24,2,21,16,0,0,0,41,12,0,4,0,0,34,17,0,0,0,16,0,11,30,5,4,5,0,0,0,1,4.54074074074074,0,16,14,3,135
160,6,0,12,0,17,5,1,0,9,26,57,0,5,0,0,41,13,0,0,4,11,0,19,23,6,3,7,4,0,2,0,5.724867724867725,2,53,24,43,189
161,10,6,10,2,17,10,1,0,2,19,15,1,9,0,0,35,9,0,0,1,6,0,5,22,6,5,11,4,0,0,5,4.601503759398496,1,12,17,20,133
162,0,0,4,0,7,3,0,0,0,5,7,0,5,0,0,11,5,0,0,0,5,0,5,11,0,0,1,0,0,0,1,4.476190476190476,0,6,12,8,42
163,23,8,19,1,29,3,1,0,2,40,4,0,11,0,0,49,13,0,0,1,5,0,9,34,1,10,8,3,2,0,4,4.782051282051282,2,13,20,18,156
164,3,0,8,1,6,1,0,0,1,19,3,0,3,0,0,22,5,1,0,3,6,0,6,13,3,1,1,0,0,0,1,4.403225806451613,0,4,13,12,62
165,5,0,6,1,9,7,0,0,1,9,9,0,2,0,0,15,8,0,0,0,6,0,5,11,1,2,3,1,0,0,2,4.7254901960784315,0,7,16,5,51
166,12,3,26,0,19,12,1,0,3,46,12,0,4,0,0,47,26,0,0,4,5,0,11,39,10,7,1,2,1,0,5,4.920245398773006,0,9,18,21,163
