,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,NONE,PDT,PRP,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,sentenceNumber,wordNumber
41,2,0,7,1,4,4,0,0,0,5,2,0,2,0,0,12,5,0,0,0,6,0,2,8,2,2,1,0,0,0,1,4.6571428571428575,0,7,5,35
42,7,2,24,1,24,15,1,3,6,38,7,0,9,0,1,28,11,0,0,4,7,0,11,13,1,2,11,3,0,0,2,5.073529411764706,0,11,23,136
43,11,1,16,1,31,5,0,0,0,27,12,0,10,0,2,27,14,0,0,0,5,0,4,28,5,0,3,1,1,1,5,4.739837398373984,1,16,20,123
44,6,0,22,0,9,2,0,0,0,25,1,0,6,0,0,23,7,0,0,0,8,0,6,20,1,1,7,1,0,1,6,4.644736842105263,2,2,9,76
45,10,1,9,0,20,9,0,0,0,17,2,0,7,0,0,41,10,0,0,2,13,0,12,26,8,1,5,1,0,0,5,4.5,1,3,15,102
46,3,2,13,2,26,11,0,0,5,39,5,0,2,0,0,18,5,0,2,0,4,0,12,1,4,0,4,4,0,2,0,5.566666666666666,2,2,12,90
47,7,1,9,0,9,2,0,2,2,13,1,0,2,0,0,11,6,0,0,1,3,0,6,9,0,2,0,0,0,0,1,3.9574468085106385,0,1,7,47
48,5,4,15,0,16,10,3,0,1,25,4,0,7,0,0,19,5,0,0,1,9,0,10,21,3,1,2,1,0,0,1,4.74,0,6,14,100
49,15,0,45,0,52,12,2,0,1,91,66,0,14,0,0,47,14,0,0,8,11,0,6,60,17,8,6,1,0,0,1,5.235294117647059,0,72,54,323
50,8,1,27,0,35,15,2,3,1,61,41,0,8,0,0,49,20,0,0,9,14,0,8,37,6,4,9,5,0,1,4,5.355648535564853,1,37,48,239
51,2,3,7,0,12,6,0,0,0,10,5,0,3,0,0,11,4,0,0,0,3,0,3,10,0,1,1,0,0,0,0,4.956521739130435,0,11,5,46
52,4,0,0,0,2,0,0,0,2,4,2,0,3,0,0,7,5,0,0,0,0,0,5,0,0,2,4,1,0,0,0,5.421052631578948,0,5,2,19
53,6,1,2,0,8,0,0,0,0,10,1,0,3,0,0,20,6,0,0,0,1,0,0,14,0,3,4,0,0,1,1,4.236363636363636,2,2,12,55
54,13,1,23,2,33,13,0,0,2,58,27,0,10,0,0,50,18,0,1,2,2,0,9,23,9,7,13,7,0,0,2,4.970873786407767,0,30,25,206
55,21,0,27,0,44,26,0,0,10,74,29,0,6,0,0,65,37,1,0,2,17,0,22,46,7,7,10,6,1,0,6,4.368200836820083,1,53,13,239
56,12,0,41,2,33,8,0,0,9,63,52,0,10,0,0,32,12,1,0,3,13,0,21,29,3,10,9,11,0,2,1,5.2444444444444445,2,72,26,225
57,4,0,2,0,5,5,0,0,1,6,0,0,1,0,0,15,5,0,0,0,3,0,4,10,1,0,3,1,1,0,2,3.9166666666666665,0,4,1,36
58,7,2,20,1,27,10,1,0,1,36,14,0,9,0,1,29,18,0,0,4,7,0,6,23,7,4,3,2,0,0,4,5.159722222222222,0,16,20,144
59,11,1,10,0,17,9,0,0,2,25,18,0,4,0,0,30,18,0,0,2,4,0,8,25,4,7,1,1,1,0,3,4.5984251968503935,0,14,19,127
60,6,3,12,3,18,9,1,0,0,34,6,0,4,0,0,22,13,0,0,3,11,0,12,21,4,1,1,0,0,0,0,4.77,0,8,18,100
61,2,2,19,0,9,2,0,0,1,32,3,0,4,0,0,12,4,0,0,0,7,0,7,15,0,5,0,0,0,2,2,5.217391304347826,3,6,10,69
62,6,1,18,0,17,9,1,1,3,25,11,0,4,0,0,15,3,0,0,1,2,0,5,13,3,1,0,0,0,0,0,5.0131578947368425,0,13,12,76
63,2,1,10,1,4,6,3,0,0,11,8,0,3,0,0,10,5,1,0,1,6,0,7,13,3,0,1,4,0,0,3,4.478260869565218,0,14,10,69
64,9,1,19,1,11,2,2,0,0,38,8,0,5,0,1,19,7,0,0,0,4,0,2,22,2,1,2,0,0,0,0,4.4021739130434785,0,16,11,92
65,2,0,4,0,9,3,0,1,2,12,1,0,2,0,0,9,13,0,0,0,3,0,7,0,2,0,7,3,0,0,2,4.355555555555555,1,4,7,45
66,7,2,23,0,21,12,0,2,5,34,32,0,5,0,0,27,9,0,0,1,18,0,18,14,8,8,6,4,1,1,0,5.535483870967742,2,39,16,155
67,7,4,22,2,32,10,1,0,1,40,12,0,13,0,0,25,21,0,0,1,16,0,14,4,10,11,15,12,0,2,1,6.082758620689655,2,8,20,145
68,3,0,8,0,12,1,0,0,0,21,5,0,4,0,0,17,5,0,0,0,0,0,0,14,8,0,0,2,1,0,5,5.631578947368421,3,9,9,57
69,11,2,13,1,7,4,1,0,1,11,18,0,2,0,0,24,14,1,0,1,5,0,4,11,3,1,8,4,0,1,6,4.137931034482759,2,16,7,87
70,4,0,5,0,8,4,0,0,0,18,5,0,4,0,0,9,4,0,0,0,2,0,3,1,5,0,9,4,0,0,2,5.375,1,5,16,56
71,6,8,9,0,19,2,0,0,5,23,10,0,6,0,0,31,14,0,0,0,4,0,9,22,1,1,5,0,0,0,0,4.58,0,20,22,100
72,7,1,33,1,30,10,0,4,1,59,9,1,5,0,0,11,10,0,0,0,4,0,5,27,5,4,2,1,1,2,1,5.297709923664122,2,15,25,131
73,8,2,9,1,7,7,1,0,1,20,3,0,2,0,0,26,11,0,0,3,7,0,8,22,6,2,3,2,1,0,2,4.722222222222222,0,4,10,72
74,8,1,17,0,13,10,0,0,0,30,8,0,3,0,0,29,17,0,0,0,3,0,5,27,4,6,2,1,0,4,0,5.010752688172043,4,13,9,93
75,6,0,3,0,6,2,0,0,1,11,2,0,1,0,0,11,13,1,0,1,0,0,1,1,5,2,9,4,0,1,2,5.042553191489362,1,3,7,47
76,5,2,3,0,1,0,0,0,0,10,1,0,1,0,0,8,2,0,0,0,4,0,6,5,0,1,1,0,0,0,1,3.1515151515151514,0,3,2,33
77,14,5,27,1,38,20,0,0,1,53,34,0,14,0,0,38,11,0,0,6,7,0,9,35,7,9,8,5,0,1,2,5.486238532110092,1,33,37,218
78,1,2,14,0,10,6,3,1,1,15,25,0,2,0,0,11,5,1,0,0,8,0,7,18,2,0,2,1,0,0,3,4.523255813953488,0,23,5,86
79,3,6,11,0,16,4,0,0,0,21,10,0,1,0,0,40,12,1,0,2,9,0,9,25,2,1,3,0,1,1,8,4.457446808510638,2,11,18,94
80,3,2,10,0,13,15,1,0,0,26,6,0,11,0,0,25,8,0,0,1,7,0,7,15,2,2,8,2,0,0,0,4.444444444444445,0,3,16,108
81,6,7,7,0,14,6,0,0,0,13,4,0,7,0,0,14,10,0,0,0,8,0,10,10,3,2,2,2,2,0,3,5.271428571428571,0,9,10,70
82,10,1,13,1,21,7,0,0,2,26,8,0,4,0,0,31,14,0,0,2,6,0,10,10,3,4,9,2,2,0,1,4.954954954954955,0,5,17,111
83,6,3,14,0,8,8,1,2,1,23,12,0,6,0,0,22,8,2,0,4,6,0,5,6,1,0,8,4,0,0,0,4.261682242990654,0,19,18,107
84,3,0,6,0,8,4,0,0,1,19,2,0,2,0,0,10,8,0,0,0,2,0,2,12,3,1,2,1,1,0,1,5.409090909090909,1,7,6,44
85,9,5,16,0,24,16,0,0,1,29,7,0,13,0,0,31,17,2,0,1,6,0,6,28,10,3,4,0,1,0,4,4.854961832061068,1,13,10,131
86,4,0,2,0,4,0,1,0,0,11,4,0,0,0,0,8,1,0,0,0,3,0,5,0,2,1,2,4,0,2,2,5.161290322580645,2,5,6,31
87,4,0,1,0,3,4,3,0,0,4,0,0,2,0,0,9,2,0,0,0,5,0,5,2,0,1,3,0,0,0,0,5.44,0,2,4,25
88,2,0,9,0,10,1,0,0,0,15,5,0,2,0,0,13,5,1,0,1,7,0,7,11,1,2,0,2,0,0,0,4.470588235294118,0,7,8,51
89,12,3,25,1,31,6,0,2,5,46,30,0,15,0,0,40,20,0,0,1,7,0,10,3,9,1,23,6,1,2,3,4.9411764705882355,2,30,22,187
90,4,1,6,0,9,3,0,0,2,28,3,0,3,0,0,28,4,0,0,1,4,0,5,14,2,0,7,0,0,0,3,4.1688311688311686,0,5,10,77
91,6,1,7,0,13,13,0,0,2,17,13,0,2,0,1,36,13,0,0,0,6,0,5,25,6,1,7,0,0,2,3,4.173076923076923,2,13,11,104
92,5,5,22,0,9,12,0,0,4,33,11,0,4,0,0,17,11,0,1,2,4,0,6,17,3,3,4,0,1,0,5,4.715596330275229,0,13,12,109
93,14,2,12,1,11,5,0,0,0,23,12,0,6,0,0,27,25,0,0,2,5,0,6,21,10,1,5,4,0,1,1,5.0594059405940595,1,22,13,101
94,9,6,11,0,15,6,0,0,1,15,5,0,8,0,0,18,13,0,0,0,2,0,1,17,1,3,5,1,2,1,0,4.5227272727272725,1,11,6,88
95,3,0,7,0,6,8,0,0,0,19,10,0,6,0,0,18,2,0,0,1,7,0,3,3,3,0,4,5,0,0,7,4.709677419354839,0,13,2,62
96,11,3,13,0,13,2,0,0,4,28,16,0,5,0,0,22,14,0,0,2,4,0,8,23,2,7,1,2,0,0,0,4.932038834951456,0,16,15,103
97,7,1,21,0,21,12,1,0,2,31,8,0,10,0,0,14,19,0,0,0,3,0,4,0,4,0,12,8,3,1,1,5.901960784313726,1,5,13,102
98,5,0,5,0,7,2,0,0,1,11,0,0,2,0,0,13,5,0,0,0,1,0,2,9,1,1,1,0,0,0,0,4.055555555555555,0,1,4,36
99,7,0,8,0,14,1,0,0,2,25,11,0,2,0,0,31,16,0,0,1,11,0,16,22,4,2,4,1,1,0,4,4.5673076923076925,0,14,15,104
100,8,2,22,1,37,19,1,1,8,57,28,0,8,2,0,54,23,0,0,5,4,0,12,36,6,2,8,2,0,2,4,5.153846153846154,2,21,39,221
101,10,1,17,0,19,6,0,0,0,26,14,0,7,0,0,27,11,0,0,1,3,0,4,24,5,5,4,1,0,0,2,5.327102803738318,1,10,15,107
102,4,1,8,0,7,1,0,0,0,15,3,0,5,0,0,12,3,0,0,0,3,0,2,13,1,2,1,0,0,0,0,4.46,0,2,8,50
103,4,1,11,1,17,2,0,0,3,22,2,0,6,0,0,8,2,0,0,0,4,0,6,1,5,0,3,6,2,1,0,4.507246376811594,1,2,7,69
104,9,1,14,0,17,3,0,0,1,24,8,0,5,0,0,27,16,1,0,0,12,0,12,26,1,3,1,0,0,0,3,4.172413793103448,0,21,7,87
105,6,0,8,0,13,12,0,0,2,32,5,0,12,0,0,43,11,0,0,0,2,0,3,22,3,4,1,1,0,1,5,4.516949152542373,1,7,13,118
106,10,1,18,0,28,17,1,0,1,39,7,0,8,0,0,35,19,1,0,2,13,0,13,5,3,2,25,7,0,2,2,5.140625,2,5,19,128
107,4,1,4,0,8,1,1,0,0,6,0,0,2,0,0,15,4,0,0,0,1,0,1,9,4,8,5,0,0,0,0,4.648648648648648,0,2,7,37
108,10,1,26,0,37,10,1,1,1,37,45,0,10,0,0,24,20,0,0,4,11,0,10,27,5,8,7,0,0,0,2,5.730337078651686,2,46,20,178
109,6,1,5,0,16,4,0,0,1,20,14,0,4,0,0,21,17,0,0,1,7,0,6,15,4,3,3,3,0,0,0,4.938144329896907,0,14,13,97
110,2,0,6,0,6,6,0,0,1,8,21,0,2,0,0,10,7,0,0,3,7,0,6,11,2,2,4,1,0,2,1,5.114285714285714,2,16,13,70
111,13,0,7,0,14,5,1,0,1,18,2,0,10,0,0,17,9,0,0,0,7,0,9,0,9,5,18,0,0,3,2,5.602739726027397,3,4,7,73
112,7,0,15,0,21,8,0,0,2,30,1,0,4,0,0,23,9,0,0,0,4,0,9,13,6,4,4,1,1,0,1,5.111111111111111,2,1,10,90
113,6,0,18,0,13,5,2,2,0,24,8,0,11,0,0,22,15,1,0,4,7,0,9,9,3,1,10,8,0,4,2,5.045454545454546,4,11,17,110
114,8,1,14,1,16,12,0,2,0,31,24,0,4,0,0,10,15,0,0,1,2,0,2,21,6,2,0,0,0,0,4,6.844036697247707,0,24,13,109
115,5,0,14,0,13,11,0,1,0,27,2,0,9,0,0,8,6,0,0,3,4,0,3,0,7,1,7,6,3,0,0,5.698630136986301,0,2,11,73
116,12,4,25,0,34,9,1,1,5,50,11,0,5,0,0,54,19,2,0,3,9,0,15,29,9,3,7,3,2,0,7,4.48936170212766,0,16,22,188
117,7,0,5,0,18,2,0,0,2,20,4,0,2,0,0,19,4,0,0,0,1,0,6,0,0,3,23,4,0,0,1,4.984126984126984,1,13,5,63
118,5,1,11,0,12,11,0,0,6,16,8,0,5,0,0,23,15,0,0,0,10,0,19,3,5,1,6,5,0,0,4,5.072916666666667,0,11,17,96
119,5,0,7,0,10,7,0,0,5,20,7,0,1,0,0,11,16,0,1,0,2,0,11,0,8,2,2,8,3,0,4,5.631578947368421,0,5,10,76
120,5,3,10,0,19,6,2,0,3,22,17,0,3,0,0,30,7,1,0,2,10,0,8,16,8,2,8,1,0,0,2,4.745454545454545,1,18,11,110
121,21,2,26,0,11,7,0,1,0,47,13,0,13,0,0,54,31,0,0,2,18,0,13,36,7,6,4,0,1,0,3,4.341463414634147,0,22,13,164
122,10,1,11,0,27,19,0,0,2,40,6,0,13,0,0,29,22,0,0,0,6,0,12,7,4,2,12,9,4,0,6,5.489795918367347,0,13,23,147
123,6,10,11,0,19,8,0,0,1,29,17,1,8,0,0,25,9,0,0,4,7,0,6,22,1,4,1,0,0,0,2,4.923728813559322,0,13,16,118
124,1,0,11,0,17,10,1,0,1,30,25,0,7,0,0,29,7,0,1,4,7,0,8,22,6,2,3,2,0,0,1,5.031496062992126,0,17,28,127
125,1,0,4,0,6,3,0,0,0,9,22,0,3,0,0,6,6,0,0,1,1,0,1,8,5,0,1,2,1,0,0,5.065573770491803,0,23,7,61
126,11,7,15,1,24,7,3,0,1,29,25,0,16,0,0,39,19,0,0,6,6,0,8,31,9,1,4,0,1,1,0,5.173184357541899,1,16,41,179
127,7,3,11,1,21,11,0,0,2,23,14,0,4,0,0,43,16,0,0,2,9,0,12,28,1,4,0,2,1,0,6,4.632,0,11,19,125
128,5,1,11,0,11,7,0,0,2,15,11,0,2,0,0,11,7,0,0,1,3,0,4,9,6,5,4,2,2,0,3,5.838709677419355,0,10,6,62
129,2,0,4,0,1,5,0,0,0,9,5,0,3,0,0,10,3,0,1,0,2,0,1,9,0,1,0,1,0,0,2,5.230769230769231,0,10,8,39
130,5,1,7,1,12,5,0,1,0,15,2,0,3,0,0,22,13,1,0,3,4,0,3,22,3,2,2,0,0,0,3,3.765625,0,4,4,64
131,10,3,22,1,23,13,1,1,2,29,0,0,7,0,0,32,11,0,0,4,14,0,10,27,8,4,7,1,1,0,2,4.568965517241379,0,3,11,116
132,0,0,3,0,9,3,1,0,0,13,4,0,3,0,0,6,1,0,0,2,1,0,3,0,3,0,4,2,0,1,3,5.5625,1,4,3,32
133,6,5,25,0,23,6,0,0,2,46,23,1,6,0,0,44,16,0,0,5,5,0,9,29,1,3,12,6,0,2,8,4.7542857142857144,2,25,25,175
134,1,0,4,0,6,5,0,0,1,11,3,0,1,0,0,12,7,0,0,0,5,0,6,1,0,0,5,5,0,0,2,5.5476190476190474,0,2,8,42
135,2,0,4,0,10,7,1,0,3,13,3,0,3,0,0,8,3,0,0,1,8,0,12,0,0,1,2,3,0,0,0,5.642857142857143,0,2,7,42
136,12,0,3,0,4,2,0,0,0,9,1,0,0,0,0,16,8,0,0,2,2,0,1,12,1,0,5,0,0,1,1,3.878787878787879,1,4,2,33
137,7,0,3,0,4,1,0,0,0,15,2,0,2,0,0,18,8,0,0,0,4,0,2,11,2,1,4,0,0,0,3,5.313725490196078,0,3,8,51
138,18,0,10,0,24,5,0,0,7,27,1,0,7,0,0,65,14,0,0,2,14,0,15,30,4,2,5,0,2,2,6,4.023076923076923,2,3,2,130
139,2,0,3,0,1,3,0,0,0,8,19,0,1,0,0,15,1,0,0,0,1,0,1,10,0,0,4,2,0,0,0,4.535714285714286,0,15,7,56
140,5,0,16,0,16,6,1,0,0,27,30,0,8,0,0,28,16,0,0,1,6,0,5,27,3,3,8,4,0,1,1,4.767605633802817,1,31,20,142
141,7,1,8,0,8,7,0,0,0,19,3,0,5,0,0,21,10,0,0,1,5,0,3,17,3,4,1,1,0,0,2,4.618421052631579,0,3,12,76
142,2,2,9,0,11,2,0,0,0,19,4,0,5,0,0,20,7,0,0,1,1,0,1,13,3,0,1,1,0,1,6,4.222222222222222,2,7,10,63
143,17,4,21,3,27,9,0,1,0,32,18,0,10,0,0,29,17,0,1,5,7,0,4,20,9,9,10,7,1,0,1,4.794520547945205,0,18,20,146
144,2,1,11,0,17,5,0,0,7,20,2,0,1,0,0,16,5,0,0,1,3,0,11,0,1,1,10,5,0,4,1,4.754098360655738,4,2,7,61
145,13,1,17,0,30,10,0,2,4,47,17,1,10,0,0,71,16,0,0,1,13,0,11,38,3,3,10,2,0,0,1,4.816753926701571,0,20,40,191
146,8,2,9,0,12,4,3,1,2,14,2,0,4,0,0,21,11,1,0,0,2,0,4,21,3,5,3,0,0,0,0,4.464285714285714,0,3,12,84
147,3,1,6,0,6,2,0,0,0,9,9,0,1,0,0,12,2,0,0,2,6,0,5,12,1,0,1,1,0,0,2,4.434782608695652,0,5,5,46
148,6,1,6,0,11,6,0,0,0,12,1,0,1,0,0,21,3,0,0,0,5,0,3,16,3,4,0,2,0,0,2,4.037735849056604,0,6,7,53
149,3,0,7,0,15,6,0,0,2,17,1,0,5,0,0,12,10,0,0,5,10,0,15,2,6,4,5,1,0,0,0,5.424242424242424,0,5,7,66
150,8,2,9,0,16,8,0,0,2,27,7,0,4,0,0,25,6,0,0,0,8,0,10,16,5,3,4,2,0,0,1,4.511627906976744,0,11,17,86
151,6,1,9,0,6,5,1,0,2,18,7,0,2,0,0,16,10,0,0,0,4,0,4,10,3,2,6,1,0,0,0,4.811594202898551,0,5,9,69
152,8,0,15,0,24,5,1,0,2,33,17,0,0,0,0,31,15,0,0,3,14,0,14,20,6,2,2,3,0,1,1,4.550387596899225,1,16,18,129
153,2,2,9,0,9,3,1,0,1,16,6,0,1,1,0,22,6,0,0,1,9,0,9,10,8,0,7,4,0,0,3,4.4605263157894735,0,2,10,76
154,13,0,6,0,24,11,1,0,1,29,17,1,9,0,0,38,30,0,0,0,12,0,12,21,3,1,9,6,0,0,4,4.455089820359281,1,13,31,167
155,7,4,12,0,9,3,0,0,0,14,3,0,4,0,0,18,10,0,0,3,9,0,6,13,0,1,2,0,0,0,4,4.62962962962963,0,4,6,54
156,8,2,15,0,18,4,0,1,1,19,7,0,7,0,0,25,14,1,0,1,5,0,5,21,1,3,4,2,0,0,1,4.572815533980583,0,8,17,103
157,11,3,15,0,25,14,0,0,5,37,1,1,6,0,0,25,6,0,0,1,6,0,14,4,1,5,14,3,0,0,2,5.427350427350428,2,6,21,117
158,24,4,26,3,42,29,0,0,6,85,65,0,12,1,0,42,32,0,0,7,20,0,27,32,15,7,15,6,0,0,4,5.386792452830188,1,63,44,318
159,5,1,7,0,5,3,0,0,0,15,0,0,0,0,0,7,3,0,0,0,4,0,1,10,1,3,2,0,0,1,1,4.529411764705882,1,2,2,34
160,7,2,20,0,16,15,0,0,1,27,3,0,10,0,1,34,14,0,0,3,8,0,11,18,6,2,10,3,0,1,3,4.725806451612903,1,15,14,124
161,3,0,1,0,6,4,0,0,0,3,3,0,6,0,0,16,5,0,0,0,8,0,8,8,2,1,5,2,0,0,4,4.125,0,6,2,48
162,13,1,23,0,19,10,0,0,0,37,8,0,9,0,0,29,6,0,0,3,8,0,6,29,3,1,4,0,2,0,1,5.0,1,7,16,126
163,6,1,20,0,25,13,0,0,4,42,9,0,7,0,0,17,7,0,1,2,7,0,9,8,2,5,0,8,0,0,2,5.610169491525424,0,6,13,118
164,4,0,9,1,8,5,0,0,1,16,0,0,4,0,0,22,8,0,0,1,7,0,4,15,1,2,5,1,0,0,1,4.061538461538461,0,0,8,65
165,7,0,7,0,11,3,0,0,1,22,3,0,2,0,0,19,7,0,0,0,5,0,6,13,1,1,6,0,0,0,1,4.6461538461538465,0,6,4,65
166,10,0,18,0,18,14,0,0,8,38,37,0,8,0,0,25,10,0,0,3,11,0,19,22,3,5,2,1,1,1,0,5.258741258741258,1,57,8,143
167,2,0,11,0,9,3,0,0,0,16,1,0,2,0,0,17,4,1,0,2,12,0,10,11,4,2,4,2,0,1,1,5.104477611940299,1,1,14,67
168,18,1,17,1,26,19,0,0,1,39,9,0,4,0,0,42,16,0,0,4,11,0,14,34,4,6,4,7,0,1,3,4.191082802547771,1,7,18,157
169,9,1,12,1,15,6,0,0,2,20,5,0,4,0,0,21,8,0,0,2,12,0,16,0,3,1,11,6,0,0,1,5.620253164556962,0,4,13,79
170,4,0,9,0,6,2,0,1,0,13,3,0,0,0,0,10,5,0,0,2,4,0,6,5,0,0,3,0,0,0,2,4.138888888888889,1,5,5,36
